symptom,duration,interpretation,risk_level,clinical_category,emergency_flag
Cough,2-4 Weeks,Possible Infection,High,General,No
Cough,2-4 Weeks,Monitor Symptoms,Critical,Respiratory,Yes
Cough,2-4 Weeks,Requires Clinical Evaluation,Low,Cardiac,No
Cough,2-4 Weeks,Chronic Condition Suspected,Medium,Neurological,Yes
Cough,2-4 Weeks,Emergency Evaluation Needed,High,Gi,No
Cough,2-4 Weeks,Lifestyle-Related Issue Possible,Critical,General,Yes
Cough,2-4 Weeks,Underlying Disease Progression,Low,Respiratory,No
Cough,1-3 Months,Acute Condition Likely,Medium,Cardiac,Yes
Cough,1-3 Months,Possible Infection,High,Neurological,No
Cough,1-3 Months,Monitor Symptoms,Critical,Gi,Yes
Cough,1-3 Months,Requires Clinical Evaluation,Low,General,No
Cough,1-3 Months,Chronic Condition Suspected,Medium,Respiratory,Yes
Cough,1-3 Months,Emergency Evaluation Needed,High,Cardiac,No
Cough,1-3 Months,Lifestyle-Related Issue Possible,Critical,Neurological,Yes
Cough,1-3 Months,Underlying Disease Progression,Low,Gi,No
Cough,Chronic (>3 Months),Acute Condition Likely,Medium,General,Yes
Cough,Chronic (>3 Months),Possible Infection,High,Respiratory,No
Cough,Chronic (>3 Months),Monitor Symptoms,Critical,Cardiac,Yes
Cough,Chronic (>3 Months),Requires Clinical Evaluation,Low,Neurological,No
Cough,Chronic (>3 Months),Chronic Condition Suspected,Medium,Gi,Yes
Cough,Chronic (>3 Months),Emergency Evaluation Needed,High,General,No
Cough,Chronic (>3 Months),Lifestyle-Related Issue Possible,Critical,Respiratory,Yes
Cough,Chronic (>3 Months),Underlying Disease Progression,Low,Cardiac,No
Chest Pain,< 1 Day,Acute Condition Likely,Medium,Neurological,Yes
Chest Pain,< 1 Day,Possible Infection,High,Gi,No
Chest Pain,< 1 Day,Monitor Symptoms,Critical,General,Yes
Chest Pain,< 1 Day,Requires Clinical Evaluation,Low,Respiratory,No
Chest Pain,< 1 Day,Chronic Condition Suspected,Medium,Cardiac,Yes
Chest Pain,< 1 Day,Emergency Evaluation Needed,High,Neurological,No
Chest Pain,< 1 Day,Lifestyle-Related Issue Possible,Critical,Gi,Yes
Chest Pain,< 1 Day,Underlying Disease Progression,Low,General,No
Chest Pain,1-3 Days,Acute Condition Likely,Medium,Respiratory,Yes
Chest Pain,1-3 Days,Possible Infection,High,Cardiac,No
Chest Pain,1-3 Days,Monitor Symptoms,Critical,Neurological,Yes
Chest Pain,1-3 Days,Requires Clinical Evaluation,Low,Gi,No
Chest Pain,1-3 Days,Chronic Condition Suspected,Medium,General,Yes
Chest Pain,1-3 Days,Emergency Evaluation Needed,High,Respiratory,No
Chest Pain,1-3 Days,Lifestyle-Related Issue Possible,Critical,Cardiac,Yes
Chest Pain,1-3 Days,Underlying Disease Progression,Low,Neurological,No
Chest Pain,3-7 Days,Acute Condition Likely,Medium,Gi,Yes
Chest Pain,3-7 Days,Possible Infection,High,General,No
Chest Pain,3-7 Days,Monitor Symptoms,Critical,Respiratory,Yes
Chest Pain,3-7 Days,Requires Clinical Evaluation,Low,Cardiac,No
Chest Pain,3-7 Days,Chronic Condition Suspected,Medium,Neurological,Yes
Chest Pain,3-7 Days,Emergency Evaluation Needed,High,Gi,No
Chest Pain,3-7 Days,Lifestyle-Related Issue Possible,Critical,General,Yes
Chest Pain,3-7 Days,Underlying Disease Progression,Low,Respiratory,No
Chest Pain,1-2 Weeks,Acute Condition Likely,Medium,Cardiac,Yes
Chest Pain,1-2 Weeks,Possible Infection,High,Neurological,No
Chest Pain,1-2 Weeks,Monitor Symptoms,Critical,Gi,Yes
Chest Pain,1-2 Weeks,Requires Clinical Evaluation,Low,General,No
Chest Pain,1-2 Weeks,Chronic Condition Suspected,Medium,Respiratory,Yes
Chest Pain,1-2 Weeks,Emergency Evaluation Needed,High,Cardiac,No
Chest Pain,1-2 Weeks,Lifestyle-Related Issue Possible,Critical,Neurological,Yes
Chest Pain,1-2 Weeks,Underlying Disease Progression,Low,Gi,No
Chest Pain,2-4 Weeks,Acute Condition Likely,Medium,General,Yes
Chest Pain,2-4 Weeks,Possible Infection,High,Respiratory,No
Chest Pain,2-4 Weeks,Monitor Symptoms,Critical,Cardiac,Yes
Chest Pain,2-4 Weeks,Requires Clinical Evaluation,Low,Neurological,No
Chest Pain,2-4 Weeks,Chronic Condition Suspected,Medium,Gi,Yes
Chest Pain,2-4 Weeks,Emergency Evaluation Needed,High,General,No
Chest Pain,2-4 Weeks,Lifestyle-Related Issue Possible,Critical,Respiratory,Yes
Chest Pain,2-4 Weeks,Underlying Disease Progression,Low,Cardiac,No
Chest Pain,1-3 Months,Acute Condition Likely,Medium,Neurological,Yes
Chest Pain,1-3 Months,Possible Infection,High,Gi,No
Chest Pain,1-3 Months,Monitor Symptoms,Critical,General,Yes
Chest Pain,1-3 Months,Requires Clinical Evaluation,Low,Respiratory,No
Chest Pain,1-3 Months,Chronic Condition Suspected,Medium,Cardiac,Yes
Chest Pain,1-3 Months,Emergency Evaluation Needed,High,Neurological,No
Chest Pain,1-3 Months,Lifestyle-Related Issue Possible,Critical,Gi,Yes
Chest Pain,1-3 Months,Underlying Disease Progression,Low,General,No
Chest Pain,Chronic (>3 Months),Acute Condition Likely,Medium,Respiratory,Yes
Chest Pain,Chronic (>3 Months),Possible Infection,High,Cardiac,No
Chest Pain,Chronic (>3 Months),Monitor Symptoms,Critical,Neurological,Yes
Chest Pain,Chronic (>3 Months),Requires Clinical Evaluation,Low,Gi,No
Chest Pain,Chronic (>3 Months),Chronic Condition Suspected,Medium,General,Yes
Chest Pain,Chronic (>3 Months),Emergency Evaluation Needed,High,Respiratory,No
Chest Pain,Chronic (>3 Months),Lifestyle-Related Issue Possible,Critical,Cardiac,Yes
Chest Pain,Chronic (>3 Months),Underlying Disease Progression,Low,Neurological,No
Headache,< 1 Day,Acute Condition Likely,Medium,Gi,Yes
Headache,< 1 Day,Possible Infection,High,General,No
Headache,< 1 Day,Monitor Symptoms,Critical,Respiratory,Yes
Headache,< 1 Day,Requires Clinical Evaluation,Low,Cardiac,No
Headache,< 1 Day,Chronic Condition Suspected,Medium,Neurological,Yes
Headache,< 1 Day,Emergency Evaluation Needed,High,Gi,No
Headache,< 1 Day,Lifestyle-Related Issue Possible,Critical,General,Yes
Headache,< 1 Day,Underlying Disease Progression,Low,Respiratory,No
Headache,1-3 Days,Acute Condition Likely,Medium,Cardiac,Yes
Headache,1-3 Days,Possible Infection,High,Neurological,No
Headache,1-3 Days,Monitor Symptoms,Critical,Gi,Yes
Headache,1-3 Days,Requires Clinical Evaluation,Low,General,No
Headache,1-3 Days,Chronic Condition Suspected,Medium,Respiratory,Yes
Headache,1-3 Days,Emergency Evaluation Needed,High,Cardiac,No
Headache,1-3 Days,Lifestyle-Related Issue Possible,Critical,Neurological,Yes
Headache,1-3 Days,Underlying Disease Progression,Low,Gi,No
Headache,3-7 Days,Acute Condition Likely,Medium,General,Yes
Headache,3-7 Days,Possible Infection,High,Respiratory,No
Headache,3-7 Days,Monitor Symptoms,Critical,Cardiac,Yes
Headache,3-7 Days,Requires Clinical Evaluation,Low,Neurological,No
Headache,3-7 Days,Chronic Condition Suspected,Medium,Gi,Yes
Headache,3-7 Days,Emergency Evaluation Needed,High,General,No
Headache,3-7 Days,Lifestyle-Related Issue Possible,Critical,Respiratory,Yes
Headache,3-7 Days,Underlying Disease Progression,Low,Cardiac,No
Headache,1-2 Weeks,Acute Condition Likely,Medium,Neurological,Yes
Headache,1-2 Weeks,Possible Infection,High,Gi,No
Headache,1-2 Weeks,Monitor Symptoms,Critical,General,Yes
Headache,1-2 Weeks,Requires Clinical Evaluation,Low,Respiratory,No
Headache,1-2 Weeks,Chronic Condition Suspected,Medium,Cardiac,Yes
Headache,1-2 Weeks,Emergency Evaluation Needed,High,Neurological,No
Headache,1-2 Weeks,Lifestyle-Related Issue Possible,Critical,Gi,Yes
Headache,1-2 Weeks,Underlying Disease Progression,Low,General,No
Headache,2-4 Weeks,Acute Condition Likely,Medium,Respiratory,Yes
Headache,2-4 Weeks,Possible Infection,High,Cardiac,No
Headache,2-4 Weeks,Monitor Symptoms,Critical,Neurological,Yes
Headache,2-4 Weeks,Requires Clinical Evaluation,Low,Gi,No
Headache,2-4 Weeks,Chronic Condition Suspected,Medium,General,Yes
Headache,2-4 Weeks,Emergency Evaluation Needed,High,Respiratory,No
Headache,2-4 Weeks,Lifestyle-Related Issue Possible,Critical,Cardiac,Yes
Headache,2-4 Weeks,Underlying Disease Progression,Low,Neurological,No
Headache,1-3 Months,Acute Condition Likely,Medium,Gi,Yes
Headache,1-3 Months,Possible Infection,High,General,No
Headache,1-3 Months,Monitor Symptoms,Critical,Respiratory,Yes
Headache,1-3 Months,Requires Clinical Evaluation,Low,Cardiac,No
Headache,1-3 Months,Chronic Condition Suspected,Medium,Neurological,Yes
Headache,1-3 Months,Emergency Evaluation Needed,High,Gi,No
Headache,1-3 Months,Lifestyle-Related Issue Possible,Critical,General,Yes
Headache,1-3 Months,Underlying Disease Progression,Low,Respiratory,No
Headache,Chronic (>3 Months),Acute Condition Likely,Medium,Cardiac,Yes
Headache,Chronic (>3 Months),Possible Infection,High,Neurological,No
Headache,Chronic (>3 Months),Monitor Symptoms,Critical,Gi,Yes
Headache,Chronic (>3 Months),Requires Clinical Evaluation,Low,General,No
Headache,Chronic (>3 Months),Chronic Condition Suspected,Medium,Respiratory,Yes
Headache,Chronic (>3 Months),Emergency Evaluation Needed,High,Cardiac,No
Headache,Chronic (>3 Months),Lifestyle-Related Issue Possible,Critical,Neurological,Yes
Headache,Chronic (>3 Months),Underlying Disease Progression,Low,Gi,No
Abdominal Pain,< 1 Day,Acute Condition Likely,Medium,General,Yes
Abdominal Pain,< 1 Day,Possible Infection,High,Respiratory,No
Abdominal Pain,< 1 Day,Monitor Symptoms,Critical,Cardiac,Yes
Abdominal Pain,< 1 Day,Requires Clinical Evaluation,Low,Neurological,No
Abdominal Pain,< 1 Day,Chronic Condition Suspected,Medium,Gi,Yes
Abdominal Pain,< 1 Day,Emergency Evaluation Needed,High,General,No
Abdominal Pain,< 1 Day,Lifestyle-Related Issue Possible,Critical,Respiratory,Yes
Abdominal Pain,< 1 Day,Underlying Disease Progression,Low,Cardiac,No
Abdominal Pain,1-3 Days,Acute Condition Likely,Medium,Neurological,Yes
Abdominal Pain,1-3 Days,Possible Infection,High,Gi,No
Abdominal Pain,1-3 Days,Monitor Symptoms,Critical,General,Yes
Abdominal Pain,1-3 Days,Requires Clinical Evaluation,Low,Respiratory,No
Abdominal Pain,1-3 Days,Chronic Condition Suspected,Medium,Cardiac,Yes
Abdominal Pain,1-3 Days,Emergency Evaluation Needed,High,Neurological,No
Abdominal Pain,1-3 Days,Lifestyle-Related Issue Possible,Critical,Gi,Yes
Abdominal Pain,1-3 Days,Underlying Disease Progression,Low,General,No
Abdominal Pain,3-7 Days,Acute Condition Likely,Medium,Respiratory,Yes
Abdominal Pain,3-7 Days,Possible Infection,High,Cardiac,No
Abdominal Pain,3-7 Days,Monitor Symptoms,Critical,Neurological,Yes
Abdominal Pain,3-7 Days,Requires Clinical Evaluation,Low,Gi,No
Abdominal Pain,3-7 Days,Chronic Condition Suspected,Medium,General,Yes
Abdominal Pain,3-7 Days,Emergency Evaluation Needed,High,Respiratory,No
Abdominal Pain,3-7 Days,Lifestyle-Related Issue Possible,Critical,Cardiac,Yes
Abdominal Pain,3-7 Days,Underlying Disease Progression,Low,Neurological,No
Abdominal Pain,1-2 Weeks,Acute Condition Likely,Medium,Gi,Yes
Abdominal Pain,1-2 Weeks,Possible Infection,High,General,No
Abdominal Pain,1-2 Weeks,Monitor Symptoms,Critical,Respiratory,Yes
Abdominal Pain,1-2 Weeks,Requires Clinical Evaluation,Low,Cardiac,No
Abdominal Pain,1-2 Weeks,Chronic Condition Suspected,Medium,Neurological,Yes
Abdominal Pain,1-2 Weeks,Emergency Evaluation Needed,High,Gi,No
Abdominal Pain,1-2 Weeks,Lifestyle-Related Issue Possible,Critical,General,Yes
Abdominal Pain,1-2 Weeks,Underlying Disease Progression,Low,Respiratory,No
Abdominal Pain,2-4 Weeks,Acute Condition Likely,Medium,Cardiac,Yes
Abdominal Pain,2-4 Weeks,Possible Infection,High,Neurological,No
Abdominal Pain,2-4 Weeks,Monitor Symptoms,Critical,Gi,Yes
Abdominal Pain,2-4 Weeks,Requires Clinical Evaluation,Low,General,No
Abdominal Pain,2-4 Weeks,Chronic Condition Suspected,Medium,Respiratory,Yes
Abdominal Pain,2-4 Weeks,Emergency Evaluation Needed,High,Cardiac,No
Abdominal Pain,2-4 Weeks,Lifestyle-Related Issue Possible,Critical,Neurological,Yes
Abdominal Pain,2-4 Weeks,Underlying Disease Progression,Low,Gi,No
Abdominal Pain,1-3 Months,Acute Condition Likely,Medium,General,Yes
Abdominal Pain,1-3 Months,Possible Infection,High,Respiratory,No
Abdominal Pain,1-3 Months,Monitor Symptoms,Critical,Cardiac,Yes
Abdominal Pain,1-3 Months,Requires Clinical Evaluation,Low,Neurological,No
Abdominal Pain,1-3 Months,Chronic Condition Suspected,Medium,Gi,Yes
Abdominal Pain,1-3 Months,Emergency Evaluation Needed,High,General,No
Abdominal Pain,1-3 Months,Lifestyle-Related Issue Possible,Critical,Respiratory,Yes
Abdominal Pain,1-3 Months,Underlying Disease Progression,Low,Cardiac,No
Abdominal Pain,Chronic (>3 Months),Acute Condition Likely,Medium,Neurological,Yes
Abdominal Pain,Chronic (>3 Months),Possible Infection,High,Gi,No
Abdominal Pain,Chronic (>3 Months),Monitor Symptoms,Critical,General,Yes
Abdominal Pain,Chronic (>3 Months),Requires Clinical Evaluation,Low,Respiratory,No
Abdominal Pain,Chronic (>3 Months),Chronic Condition Suspected,Medium,Cardiac,Yes
Abdominal Pain,Chronic (>3 Months),Emergency Evaluation Needed,High,Neurological,No
Abdominal Pain,Chronic (>3 Months),Lifestyle-Related Issue Possible,Critical,Gi,Yes
Abdominal Pain,Chronic (>3 Months),Underlying Disease Progression,Low,General,No
Vomiting,< 1 Day,Acute Condition Likely,Medium,Respiratory,Yes
Vomiting,< 1 Day,Possible Infection,High,Cardiac,No
Vomiting,< 1 Day,Monitor Symptoms,Critical,Neurological,Yes
Vomiting,< 1 Day,Requires Clinical Evaluation,Low,Gi,No
Vomiting,< 1 Day,Chronic Condition Suspected,Medium,General,Yes
Vomiting,< 1 Day,Emergency Evaluation Needed,High,Respiratory,No
Vomiting,< 1 Day,Lifestyle-Related Issue Possible,Critical,Cardiac,Yes
Vomiting,< 1 Day,Underlying Disease Progression,Low,Neurological,No
Vomiting,1-3 Days,Acute Condition Likely,Medium,Gi,Yes
Vomiting,1-3 Days,Possible Infection,High,General,No
Vomiting,1-3 Days,Monitor Symptoms,Critical,Respiratory,Yes
Vomiting,1-3 Days,Requires Clinical Evaluation,Low,Cardiac,No
Vomiting,1-3 Days,Chronic Condition Suspected,Medium,Neurological,Yes
Vomiting,1-3 Days,Emergency Evaluation Needed,High,Gi,No
Vomiting,1-3 Days,Lifestyle-Related Issue Possible,Critical,General,Yes
Vomiting,1-3 Days,Underlying Disease Progression,Low,Respiratory,No
Vomiting,3-7 Days,Acute Condition Likely,Medium,Cardiac,Yes
Vomiting,3-7 Days,Possible Infection,High,Neurological,No
Vomiting,3-7 Days,Monitor Symptoms,Critical,Gi,Yes
Vomiting,3-7 Days,Requires Clinical Evaluation,Low,General,No
Vomiting,3-7 Days,Chronic Condition Suspected,Medium,Respiratory,Yes
Vomiting,3-7 Days,Emergency Evaluation Needed,High,Cardiac,No
Vomiting,3-7 Days,Lifestyle-Related Issue Possible,Critical,Neurological,Yes
Vomiting,3-7 Days,Underlying Disease Progression,Low,Gi,No
Vomiting,1-2 Weeks,Acute Condition Likely,Medium,General,Yes
Vomiting,1-2 Weeks,Possible Infection,High,Respiratory,No
Vomiting,1-2 Weeks,Monitor Symptoms,Critical,Cardiac,Yes
Vomiting,1-2 Weeks,Requires Clinical Evaluation,Low,Neurological,No
Vomiting,1-2 Weeks,Chronic Condition Suspected,Medium,Gi,Yes
Vomiting,1-2 Weeks,Emergency Evaluation Needed,High,General,No
Vomiting,1-2 Weeks,Lifestyle-Related Issue Possible,Critical,Respiratory,Yes
Vomiting,1-2 Weeks,Underlying Disease Progression,Low,Cardiac,No
Vomiting,2-4 Weeks,Acute Condition Likely,Medium,Neurological,Yes
Vomiting,2-4 Weeks,Possible Infection,High,Gi,No
Vomiting,2-4 Weeks,Monitor Symptoms,Critical,General,Yes
Vomiting,2-4 Weeks,Requires Clinical Evaluation,Low,Respiratory,No
Vomiting,2-4 Weeks,Chronic Condition Suspected,Medium,Cardiac,Yes
Vomiting,2-4 Weeks,Emergency Evaluation Needed,High,Neurological,No
Vomiting,2-4 Weeks,Lifestyle-Related Issue Possible,Critical,Gi,Yes
Vomiting,2-4 Weeks,Underlying Disease Progression,Low,General,No
Vomiting,1-3 Months,Acute Condition Likely,Medium,Respiratory,Yes
Vomiting,1-3 Months,Possible Infection,High,Cardiac,No
Vomiting,1-3 Months,Monitor Symptoms,Critical,Neurological,Yes
Vomiting,1-3 Months,Requires Clinical Evaluation,Low,Gi,No
Vomiting,1-3 Months,Chronic Condition Suspected,Medium,General,Yes
Vomiting,1-3 Months,Emergency Evaluation Needed,High,Respiratory,No
Vomiting,1-3 Months,Lifestyle-Related Issue Possible,Critical,Cardiac,Yes
Vomiting,1-3 Months,Underlying Disease Progression,Low,Neurological,No
Vomiting,Chronic (>3 Months),Acute Condition Likely,Medium,Gi,Yes
Vomiting,Chronic (>3 Months),Possible Infection,High,General,No
Vomiting,Chronic (>3 Months),Monitor Symptoms,Critical,Respiratory,Yes
Vomiting,Chronic (>3 Months),Requires Clinical Evaluation,Low,Cardiac,No
Vomiting,Chronic (>3 Months),Chronic Condition Suspected,Medium,Neurological,Yes
Vomiting,Chronic (>3 Months),Emergency Evaluation Needed,High,Gi,No
Vomiting,Chronic (>3 Months),Lifestyle-Related Issue Possible,Critical,General,Yes
Vomiting,Chronic (>3 Months),Underlying Disease Progression,Low,Respiratory,No
Diarrhea,< 1 Day,Acute Condition Likely,Medium,Cardiac,Yes
Diarrhea,< 1 Day,Possible Infection,High,Neurological,No
Diarrhea,< 1 Day,Monitor Symptoms,Critical,Gi,Yes
Diarrhea,< 1 Day,Requires Clinical Evaluation,Low,General,No
Diarrhea,< 1 Day,Chronic Condition Suspected,Medium,Respiratory,Yes
Diarrhea,< 1 Day,Emergency Evaluation Needed,High,Cardiac,No
Diarrhea,< 1 Day,Lifestyle-Related Issue Possible,Critical,Neurological,Yes
Diarrhea,< 1 Day,Underlying Disease Progression,Low,Gi,No
Diarrhea,1-3 Days,Acute Condition Likely,Medium,General,Yes
Diarrhea,1-3 Days,Possible Infection,High,Respiratory,No
Diarrhea,1-3 Days,Monitor Symptoms,Critical,Cardiac,Yes
Diarrhea,1-3 Days,Requires Clinical Evaluation,Low,Neurological,No
Diarrhea,1-3 Days,Chronic Condition Suspected,Medium,Gi,Yes
Diarrhea,1-3 Days,Emergency Evaluation Needed,High,General,No
Diarrhea,1-3 Days,Lifestyle-Related Issue Possible,Critical,Respiratory,Yes
Diarrhea,1-3 Days,Underlying Disease Progression,Low,Cardiac,No
Diarrhea,3-7 Days,Acute Condition Likely,Medium,Neurological,Yes
Diarrhea,3-7 Days,Possible Infection,High,Gi,No
Diarrhea,3-7 Days,Monitor Symptoms,Critical,General,Yes
Diarrhea,3-7 Days,Requires Clinical Evaluation,Low,Respiratory,No
Diarrhea,3-7 Days,Chronic Condition Suspected,Medium,Cardiac,Yes
Diarrhea,3-7 Days,Emergency Evaluation Needed,High,Neurological,No
Diarrhea,3-7 Days,Lifestyle-Related Issue Possible,Critical,Gi,Yes
Diarrhea,3-7 Days,Underlying Disease Progression,Low,General,No
Diarrhea,1-2 Weeks,Acute Condition Likely,Medium,Respiratory,Yes
Diarrhea,1-2 Weeks,Possible Infection,High,Cardiac,No
Diarrhea,1-2 Weeks,Monitor Symptoms,Critical,Neurological,Yes
Diarrhea,1-2 Weeks,Requires Clinical Evaluation,Low,Gi,No
Diarrhea,1-2 Weeks,Chronic Condition Suspected,Medium,General,Yes
Diarrhea,1-2 Weeks,Emergency Evaluation Needed,High,Respiratory,No
Diarrhea,1-2 Weeks,Lifestyle-Related Issue Possible,Critical,Cardiac,Yes
Diarrhea,1-2 Weeks,Underlying Disease Progression,Low,Neurological,No
Diarrhea,2-4 Weeks,Acute Condition Likely,Medium,Gi,Yes
Diarrhea,2-4 Weeks,Possible Infection,High,General,No
Diarrhea,2-4 Weeks,Monitor Symptoms,Critical,Respiratory,Yes
Diarrhea,2-4 Weeks,Requires Clinical Evaluation,Low,Cardiac,No
Diarrhea,2-4 Weeks,Chronic Condition Suspected,Medium,Neurological,Yes
Diarrhea,2-4 Weeks,Emergency Evaluation Needed,High,Gi,No
Diarrhea,2-4 Weeks,Lifestyle-Related Issue Possible,Critical,General,Yes
Diarrhea,2-4 Weeks,Underlying Disease Progression,Low,Respiratory,No
Diarrhea,1-3 Months,Acute Condition Likely,Medium,Cardiac,Yes
Diarrhea,1-3 Months,Possible Infection,High,Neurological,No
Diarrhea,1-3 Months,Monitor Symptoms,Critical,Gi,Yes
Diarrhea,1-3 Months,Requires Clinical Evaluation,Low,General,No
Diarrhea,1-3 Months,Chronic Condition Suspected,Medium,Respiratory,Yes
Diarrhea,1-3 Months,Emergency Evaluation Needed,High,Cardiac,No
Diarrhea,1-3 Months,Lifestyle-Related Issue Possible,Critical,Neurological,Yes
Diarrhea,1-3 Months,Underlying Disease Progression,Low,Gi,No
