disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_set,possible_diseases,differentiating_factor
Hypertension,Headache,Dizziness,Loss Of Balance,Lack Of Concentration,Headache,Nausea,Joint Pain +  Neck Pain,"Osteoarthristis, Typhoid, Tuberculosis",Pcr Confirmation
Hypertension,Headache,Chest Pain,Loss Of Balance,Lack Of Concentration,Headache,Nausea,Weakness In Limbs +  Neck Pain,"Cervical Spondylosis, Allergy, (Vertigo) Paroymsal  Positional Vertigo",Rash Pattern
Hypertension,Headache,Chest Pain,Dizziness,Lack Of Concentration,Headache,Nausea,Vomiting +  Indigestion,"Peptic Ulcer Diseae, Heart Attack, Urinary Tract Infection",Travel History
Hypertension,Headache,Chest Pain,Dizziness,Loss Of Balance,Headache,Nausea,Fatigue +  Mood Swings,"Hyperthyroidism, Hypothyroidism, Hypoglycemia",Breathlessness
Hypertension,Headache,Chest Pain,Dizziness,Loss Of Balance,Lack Of Concentration,Nausea,Continuous Sneezing +  Shivering,"Allergy, Hyperthyroidism, Dimorphic Hemmorhoids(Piles)",Chest Pain Pattern
Hypertension,Chest Pain,Dizziness,Loss Of Balance,Lack Of Concentration,Headache,Nausea,Skin Rash +  Pus Filled Pimples,"Acne, Hepatitis A",Chest Pain Pattern
Hypertension,Headache,Dizziness,Loss Of Balance,Lack Of Concentration,Headache,Nausea,Chills +  Vomiting,"Tuberculosis, Cervical Spondylosis, Varicose Veins",Pcr Confirmation
Hypertension,Headache,Chest Pain,Loss Of Balance,Lack Of Concentration,Headache,Nausea,Constipation +  Pain During Bowel Movements,"Dimorphic Hemmorhoids(Piles), Fungal Infection, Varicose Veins",Pcr Confirmation
Migraine,Acidity,Indigestion,Headache,Blurred And Distorted Vision,Excessive Hunger,Stiff Neck,Joint Pain +  Vomiting,"Hepatitis D, Diabetes , Hepatitis E",Breathlessness
Migraine,Indigestion,Headache,Blurred And Distorted Vision,Excessive Hunger,Stiff Neck,Depression,Back Pain +  Weakness In Limbs,"Cervical Spondylosis, Arthritis, Dimorphic Hemmorhoids(Piles)",Oxygen Saturation
Migraine,Acidity,Headache,Blurred And Distorted Vision,Excessive Hunger,Stiff Neck,Depression,Chills +  Vomiting,"Tuberculosis, Acne, Common Cold",Pcr Confirmation
Migraine,Acidity,Indigestion,Blurred And Distorted Vision,Excessive Hunger,Stiff Neck,Depression,Constipation +  Pain During Bowel Movements,"Dimorphic Hemmorhoids(Piles), Hepatitis D, Jaundice",Travel History
Migraine,Acidity,Indigestion,Headache,Excessive Hunger,Stiff Neck,Depression,Fatigue +  Mood Swings,"Hyperthyroidism, Arthritis, Drug Reaction",Breathlessness
Migraine,Acidity,Indigestion,Headache,Blurred And Distorted Vision,Stiff Neck,Depression,Joint Pain +  Vomiting,"Hepatitis E, Tuberculosis, Varicose Veins",Cbc Test
Migraine,Acidity,Indigestion,Headache,Blurred And Distorted Vision,Excessive Hunger,Depression,Fatigue +  Cough,"Bronchial Asthma, Gerd, Hypothyroidism",Platelet Count
Migraine,Acidity,Indigestion,Headache,Blurred And Distorted Vision,Excessive Hunger,Stiff Neck,Joint Pain +  Neck Pain,"Osteoarthristis, Hyperthyroidism, Allergy",Platelet Count
Migraine,Acidity,Indigestion,Headache,Blurred And Distorted Vision,Excessive Hunger,Stiff Neck,Joint Pain +  Neck Pain,"Osteoarthristis, Alcoholic Hepatitis, Gerd",Platelet Count
Migraine,Acidity,Indigestion,Headache,Blurred And Distorted Vision,Excessive Hunger,Stiff Neck,Muscle Wasting +  Patches In Throat,"Aids, Diabetes , Migraine",Symptom Duration
Cervical Spondylosis,Back Pain,Weakness In Limbs,Neck Pain,Dizziness,Loss Of Balance,Nausea,Fatigue +  Cough,"Bronchial Asthma, Heart Attack, Typhoid",Oxygen Saturation
Cervical Spondylosis,Back Pain,Weakness In Limbs,Neck Pain,Dizziness,Loss Of Balance,Nausea,Constipation +  Pain During Bowel Movements,"Dimorphic Hemmorhoids(Piles), Common Cold, Hypoglycemia",Pcr Confirmation
Cervical Spondylosis,Weakness In Limbs,Neck Pain,Dizziness,Loss Of Balance,Headache,Nausea,Joint Pain +  Neck Pain,"Osteoarthristis, Psoriasis, Chicken Pox",Inflammatory Markers
Cervical Spondylosis,Back Pain,Neck Pain,Dizziness,Loss Of Balance,Headache,Nausea,Chills +  Vomiting,"Malaria, Dengue, Arthritis",Platelet Count
Cervical Spondylosis,Back Pain,Weakness In Limbs,Dizziness,Loss Of Balance,Headache,Nausea,Vomiting +  Fatigue,"Tuberculosis, Alcoholic Hepatitis, (Vertigo) Paroymsal  Positional Vertigo",Cbc Test
Cervical Spondylosis,Back Pain,Weakness In Limbs,Neck Pain,Loss Of Balance,Headache,Nausea,Fatigue +  Yellowish Skin,"Hepatitis C, Drug Reaction, Osteoarthristis",Chest Pain Pattern
Cervical Spondylosis,Back Pain,Weakness In Limbs,Neck Pain,Dizziness,Headache,Nausea,Chills +  Vomiting,"Tuberculosis, Drug Reaction, Osteoarthristis",Platelet Count
Cervical Spondylosis,Back Pain,Weakness In Limbs,Neck Pain,Dizziness,Loss Of Balance,Nausea,Skin Rash +  Pus Filled Pimples,"Acne, Typhoid, Pneumonia",Pcr Confirmation
Cervical Spondylosis,Weakness In Limbs,Neck Pain,Dizziness,Loss Of Balance,Headache,Nausea,Chills +  Vomiting,"Malaria, Hepatitis C, Hypertension",Breathlessness
Cervical Spondylosis,Back Pain,Neck Pain,Dizziness,Loss Of Balance,Headache,Nausea,Fatigue +  Cramps,"Varicose Veins, Hepatitis D",Oxygen Saturation
Paralysis (Brain Hemorrhage),Vomiting,Headache,Weakness Of One Body Side,Altered Sensorium,Headache,Nausea,Chills +  Vomiting,"Typhoid, Paralysis (Brain Hemorrhage), Arthritis",Oxygen Saturation
Paralysis (Brain Hemorrhage),Vomiting,Headache,Weakness Of One Body Side,Altered Sensorium,Headache,Nausea,Itching +  Fatigue,"Hepatitis B, Varicose Veins, Hypoglycemia",Symptom Duration
Paralysis (Brain Hemorrhage),Headache,Weakness Of One Body Side,Altered Sensorium,High Fever,Headache,Nausea,Chills +  Fatigue,"Pneumonia, Urinary Tract Infection, Dengue",Travel History
Paralysis (Brain Hemorrhage),Vomiting,Weakness Of One Body Side,Altered Sensorium,High Fever,Headache,Nausea,Skin Rash +  Blister,"Impetigo, Hypertension , Psoriasis",Oxygen Saturation
Paralysis (Brain Hemorrhage),Vomiting,Headache,Altered Sensorium,High Fever,Headache,Nausea,Vomiting +  Indigestion,"Peptic Ulcer Diseae, Dengue",Cbc Test
Paralysis (Brain Hemorrhage),Vomiting,Headache,Weakness Of One Body Side,High Fever,Headache,Nausea,Fatigue +  Weight Gain,"Hypothyroidism, Urinary Tract Infection, Osteoarthristis",Breathlessness
Paralysis (Brain Hemorrhage),Vomiting,Headache,Weakness Of One Body Side,Altered Sensorium,Headache,Nausea,Skin Rash +  Joint Pain,"Psoriasis, Bronchial Asthma, Aids",Cbc Test
Paralysis (Brain Hemorrhage),Headache,Weakness Of One Body Side,Altered Sensorium,High Fever,Headache,Nausea,Chills +  Vomiting,"Malaria, Cervical Spondylosis, Acne",Oxygen Saturation
Paralysis (Brain Hemorrhage),Vomiting,Weakness Of One Body Side,Altered Sensorium,High Fever,Headache,Nausea,Joint Pain +  Neck Pain,"Osteoarthristis, Hepatitis E, Tuberculosis",Symptom Duration
Paralysis (Brain Hemorrhage),Vomiting,Headache,Altered Sensorium,High Fever,Headache,Nausea,Fatigue +  Weight Gain,"Hypothyroidism, Dengue, (Vertigo) Paroymsal  Positional Vertigo",Platelet Count
Jaundice,Itching,Vomiting,Fatigue,Weight Loss,High Fever,Yellowish Skin,Stomach Pain +  Acidity,"Gerd, Heart Attack, Dengue",Oxygen Saturation
Jaundice,Itching,Vomiting,Fatigue,Weight Loss,High Fever,Yellowish Skin,Fatigue +  Cough,"Bronchial Asthma, Hepatitis C, Psoriasis",Symptom Duration
Jaundice,Vomiting,Fatigue,Weight Loss,High Fever,Yellowish Skin,Dark Urine,Chills +  Fatigue,"Pneumonia, Diabetes , (Vertigo) Paroymsal  Positional Vertigo",Cbc Test
Jaundice,Itching,Fatigue,Weight Loss,High Fever,Yellowish Skin,Dark Urine,Chills +  Fatigue,"Pneumonia, Gerd, Alcoholic Hepatitis",Platelet Count
