symptom,follow_up_question,question_type,expected_values,priority,clinical_category,emergency_flag
Breathlessness,Localized Or Widespread?,Location,Localized/Diffuse,Medium,Respiratory,Yes
Breathlessness,Constant Or Intermittent?,Pattern,Constant/Intermittent,High,Cardiac,No
Breathlessness,Does It Affect Daily Activities?,Impact,Yes/No,Low,Neurology,Yes
Breathlessness,Any Emergency Warning Signs?,Emergency Flag,Yes/No,Medium,Gi,No
Chest Pain,Since How Many Days?,Duration,Numeric,High,Endocrine,Yes
Chest Pain,"Mild, Moderate Or Severe?",Severity,Mild/Moderate/Severe,Low,Msk,No
Chest Pain,How Frequently Does It Occur?,Frequency,Occasional/Frequent,Medium,Dermatology,Yes
Chest Pain,When Did It Start Worsening?,Progression,Numeric,High,Emergency,No
Chest Pain,Any Associated Symptoms Present?,Associated Symptom,Yes/No,Low,General,Yes
Chest Pain,Triggered By Activity?,Trigger,Yes/No,Medium,Respiratory,No
Chest Pain,Localized Or Widespread?,Location,Localized/Diffuse,High,Cardiac,Yes
Chest Pain,Constant Or Intermittent?,Pattern,Constant/Intermittent,Low,Neurology,No
Chest Pain,Does It Affect Daily Activities?,Impact,Yes/No,Medium,Gi,Yes
Chest Pain,Any Emergency Warning Signs?,Emergency Flag,Yes/No,High,Endocrine,No
Headache,Since How Many Days?,Duration,Numeric,Low,Msk,Yes
Headache,"Mild, Moderate Or Severe?",Severity,Mild/Moderate/Severe,Medium,Dermatology,No
Headache,How Frequently Does It Occur?,Frequency,Occasional/Frequent,High,Emergency,Yes
Headache,When Did It Start Worsening?,Progression,Numeric,Low,General,No
Headache,Any Associated Symptoms Present?,Associated Symptom,Yes/No,Medium,Respiratory,Yes
Headache,Triggered By Activity?,Trigger,Yes/No,High,Cardiac,No
Headache,Localized Or Widespread?,Location,Localized/Diffuse,Low,Neurology,Yes
Headache,Constant Or Intermittent?,Pattern,Constant/Intermittent,Medium,Gi,No
Headache,Does It Affect Daily Activities?,Impact,Yes/No,High,Endocrine,Yes
Headache,Any Emergency Warning Signs?,Emergency Flag,Yes/No,Low,Msk,No
Dizziness,Since How Many Days?,Duration,Numeric,Medium,Dermatology,Yes
Dizziness,"Mild, Moderate Or Severe?",Severity,Mild/Moderate/Severe,High,Emergency,No
Dizziness,How Frequently Does It Occur?,Frequency,Occasional/Frequent,Low,General,Yes
Dizziness,When Did It Start Worsening?,Progression,Numeric,Medium,Respiratory,No
Dizziness,Any Associated Symptoms Present?,Associated Symptom,Yes/No,High,Cardiac,Yes
Dizziness,Triggered By Activity?,Trigger,Yes/No,Low,Neurology,No
Dizziness,Localized Or Widespread?,Location,Localized/Diffuse,Medium,Gi,Yes
Dizziness,Constant Or Intermittent?,Pattern,Constant/Intermittent,High,Endocrine,No
Dizziness,Does It Affect Daily Activities?,Impact,Yes/No,Low,Msk,Yes
Dizziness,Any Emergency Warning Signs?,Emergency Flag,Yes/No,Medium,Dermatology,No
Nausea,Since How Many Days?,Duration,Numeric,High,Emergency,Yes
Nausea,"Mild, Moderate Or Severe?",Severity,Mild/Moderate/Severe,Low,General,No
Nausea,How Frequently Does It Occur?,Frequency,Occasional/Frequent,Medium,Respiratory,Yes
Nausea,When Did It Start Worsening?,Progression,Numeric,High,Cardiac,No
Nausea,Any Associated Symptoms Present?,Associated Symptom,Yes/No,Low,Neurology,Yes
Nausea,Triggered By Activity?,Trigger,Yes/No,Medium,Gi,No
Nausea,Localized Or Widespread?,Location,Localized/Diffuse,High,Endocrine,Yes
Nausea,Constant Or Intermittent?,Pattern,Constant/Intermittent,Low,Msk,No
Nausea,Does It Affect Daily Activities?,Impact,Yes/No,Medium,Dermatology,Yes
Nausea,Any Emergency Warning Signs?,Emergency Flag,Yes/No,High,Emergency,No
Vomiting,Since How Many Days?,Duration,Numeric,Low,General,Yes
Vomiting,"Mild, Moderate Or Severe?",Severity,Mild/Moderate/Severe,Medium,Respiratory,No
Vomiting,How Frequently Does It Occur?,Frequency,Occasional/Frequent,High,Cardiac,Yes
Vomiting,When Did It Start Worsening?,Progression,Numeric,Low,Neurology,No
Vomiting,Any Associated Symptoms Present?,Associated Symptom,Yes/No,Medium,Gi,Yes
Vomiting,Triggered By Activity?,Trigger,Yes/No,High,Endocrine,No
Vomiting,Localized Or Widespread?,Location,Localized/Diffuse,Low,Msk,Yes
Vomiting,Constant Or Intermittent?,Pattern,Constant/Intermittent,Medium,Dermatology,No
Vomiting,Does It Affect Daily Activities?,Impact,Yes/No,High,Emergency,Yes
Vomiting,Any Emergency Warning Signs?,Emergency Flag,Yes/No,Low,General,No
Diarrhea,Since How Many Days?,Duration,Numeric,Medium,Respiratory,Yes
Diarrhea,"Mild, Moderate Or Severe?",Severity,Mild/Moderate/Severe,High,Cardiac,No
Diarrhea,How Frequently Does It Occur?,Frequency,Occasional/Frequent,Low,Neurology,Yes
Diarrhea,When Did It Start Worsening?,Progression,Numeric,Medium,Gi,No
Diarrhea,Any Associated Symptoms Present?,Associated Symptom,Yes/No,High,Endocrine,Yes
Diarrhea,Triggered By Activity?,Trigger,Yes/No,Low,Msk,No
Diarrhea,Localized Or Widespread?,Location,Localized/Diffuse,Medium,Dermatology,Yes
Diarrhea,Constant Or Intermittent?,Pattern,Constant/Intermittent,High,Emergency,No
Diarrhea,Does It Affect Daily Activities?,Impact,Yes/No,Low,General,Yes
Diarrhea,Any Emergency Warning Signs?,Emergency Flag,Yes/No,Medium,Respiratory,No
Constipation,Since How Many Days?,Duration,Numeric,High,Cardiac,Yes
Constipation,"Mild, Moderate Or Severe?",Severity,Mild/Moderate/Severe,Low,Neurology,No
Constipation,How Frequently Does It Occur?,Frequency,Occasional/Frequent,Medium,Gi,Yes
Constipation,When Did It Start Worsening?,Progression,Numeric,High,Endocrine,No
Constipation,Any Associated Symptoms Present?,Associated Symptom,Yes/No,Low,Msk,Yes
Constipation,Triggered By Activity?,Trigger,Yes/No,Medium,Dermatology,No
Constipation,Localized Or Widespread?,Location,Localized/Diffuse,High,Emergency,Yes
Constipation,Constant Or Intermittent?,Pattern,Constant/Intermittent,Low,General,No
Constipation,Does It Affect Daily Activities?,Impact,Yes/No,Medium,Respiratory,Yes
Constipation,Any Emergency Warning Signs?,Emergency Flag,Yes/No,High,Cardiac,No
Abdominal Pain,Since How Many Days?,Duration,Numeric,Low,Neurology,Yes
Abdominal Pain,"Mild, Moderate Or Severe?",Severity,Mild/Moderate/Severe,Medium,Gi,No
Abdominal Pain,How Frequently Does It Occur?,Frequency,Occasional/Frequent,High,Endocrine,Yes
Abdominal Pain,When Did It Start Worsening?,Progression,Numeric,Low,Msk,No
Abdominal Pain,Any Associated Symptoms Present?,Associated Symptom,Yes/No,Medium,Dermatology,Yes
Abdominal Pain,Triggered By Activity?,Trigger,Yes/No,High,Emergency,No
Abdominal Pain,Localized Or Widespread?,Location,Localized/Diffuse,Low,General,Yes
Abdominal Pain,Constant Or Intermittent?,Pattern,Constant/Intermittent,Medium,Respiratory,No
Abdominal Pain,Does It Affect Daily Activities?,Impact,Yes/No,High,Cardiac,Yes
Abdominal Pain,Any Emergency Warning Signs?,Emergency Flag,Yes/No,Low,Neurology,No
Back Pain,Since How Many Days?,Duration,Numeric,Medium,Gi,Yes
Back Pain,"Mild, Moderate Or Severe?",Severity,Mild/Moderate/Severe,High,Endocrine,No
Back Pain,How Frequently Does It Occur?,Frequency,Occasional/Frequent,Low,Msk,Yes
Back Pain,When Did It Start Worsening?,Progression,Numeric,Medium,Dermatology,No
Back Pain,Any Associated Symptoms Present?,Associated Symptom,Yes/No,High,Emergency,Yes
Back Pain,Triggered By Activity?,Trigger,Yes/No,Low,General,No
Back Pain,Localized Or Widespread?,Location,Localized/Diffuse,Medium,Respiratory,Yes
Back Pain,Constant Or Intermittent?,Pattern,Constant/Intermittent,High,Cardiac,No
Back Pain,Does It Affect Daily Activities?,Impact,Yes/No,Low,Neurology,Yes
Back Pain,Any Emergency Warning Signs?,Emergency Flag,Yes/No,Medium,Gi,No
Joint Pain,Since How Many Days?,Duration,Numeric,High,Endocrine,Yes
Joint Pain,"Mild, Moderate Or Severe?",Severity,Mild/Moderate/Severe,Low,Msk,No
Joint Pain,How Frequently Does It Occur?,Frequency,Occasional/Frequent,Medium,Dermatology,Yes
Joint Pain,When Did It Start Worsening?,Progression,Numeric,High,Emergency,No
Joint Pain,Any Associated Symptoms Present?,Associated Symptom,Yes/No,Low,General,Yes
Joint Pain,Triggered By Activity?,Trigger,Yes/No,Medium,Respiratory,No
Joint Pain,Localized Or Widespread?,Location,Localized/Diffuse,High,Cardiac,Yes
Joint Pain,Constant Or Intermittent?,Pattern,Constant/Intermittent,Low,Neurology,No
Joint Pain,Does It Affect Daily Activities?,Impact,Yes/No,Medium,Gi,Yes
Joint Pain,Any Emergency Warning Signs?,Emergency Flag,Yes/No,High,Endocrine,No
Muscle Pain,Since How Many Days?,Duration,Numeric,Low,Msk,Yes
Muscle Pain,"Mild, Moderate Or Severe?",Severity,Mild/Moderate/Severe,Medium,Dermatology,No
Muscle Pain,How Frequently Does It Occur?,Frequency,Occasional/Frequent,High,Emergency,Yes
Muscle Pain,When Did It Start Worsening?,Progression,Numeric,Low,General,No
Muscle Pain,Any Associated Symptoms Present?,Associated Symptom,Yes/No,Medium,Respiratory,Yes
Muscle Pain,Triggered By Activity?,Trigger,Yes/No,High,Cardiac,No
Muscle Pain,Localized Or Widespread?,Location,Localized/Diffuse,Low,Neurology,Yes
Muscle Pain,Constant Or Intermittent?,Pattern,Constant/Intermittent,Medium,Gi,No
Muscle Pain,Does It Affect Daily Activities?,Impact,Yes/No,High,Endocrine,Yes
Muscle Pain,Any Emergency Warning Signs?,Emergency Flag,Yes/No,Low,Msk,No
Palpitations,Since How Many Days?,Duration,Numeric,Medium,Dermatology,Yes
Palpitations,"Mild, Moderate Or Severe?",Severity,Mild/Moderate/Severe,High,Emergency,No
Palpitations,How Frequently Does It Occur?,Frequency,Occasional/Frequent,Low,General,Yes
Palpitations,When Did It Start Worsening?,Progression,Numeric,Medium,Respiratory,No
Palpitations,Any Associated Symptoms Present?,Associated Symptom,Yes/No,High,Cardiac,Yes
Palpitations,Triggered By Activity?,Trigger,Yes/No,Low,Neurology,No
Palpitations,Localized Or Widespread?,Location,Localized/Diffuse,Medium,Gi,Yes
Palpitations,Constant Or Intermittent?,Pattern,Constant/Intermittent,High,Endocrine,No
Palpitations,Does It Affect Daily Activities?,Impact,Yes/No,Low,Msk,Yes
Palpitations,Any Emergency Warning Signs?,Emergency Flag,Yes/No,Medium,Dermatology,No
Leg Swelling,Since How Many Days?,Duration,Numeric,High,Emergency,Yes
Leg Swelling,"Mild, Moderate Or Severe?",Severity,Mild/Moderate/Severe,Low,General,No
Leg Swelling,How Frequently Does It Occur?,Frequency,Occasional/Frequent,Medium,Respiratory,Yes
Leg Swelling,When Did It Start Worsening?,Progression,Numeric,High,Cardiac,No
Leg Swelling,Any Associated Symptoms Present?,Associated Symptom,Yes/No,Low,Neurology,Yes
Leg Swelling,Triggered By Activity?,Trigger,Yes/No,Medium,Gi,No
Leg Swelling,Localized Or Widespread?,Location,Localized/Diffuse,High,Endocrine,Yes
Leg Swelling,Constant Or Intermittent?,Pattern,Constant/Intermittent,Low,Msk,No
Leg Swelling,Does It Affect Daily Activities?,Impact,Yes/No,Medium,Dermatology,Yes
Leg Swelling,Any Emergency Warning Signs?,Emergency Flag,Yes/No,High,Emergency,No
Syncope,Since How Many Days?,Duration,Numeric,Low,General,Yes
Syncope,"Mild, Moderate Or Severe?",Severity,Mild/Moderate/Severe,Medium,Respiratory,No
Syncope,How Frequently Does It Occur?,Frequency,Occasional/Frequent,High,Cardiac,Yes
Syncope,When Did It Start Worsening?,Progression,Numeric,Low,Neurology,No
Syncope,Any Associated Symptoms Present?,Associated Symptom,Yes/No,Medium,Gi,Yes
Syncope,Triggered By Activity?,Trigger,Yes/No,High,Endocrine,No
Syncope,Localized Or Widespread?,Location,Localized/Diffuse,Low,Msk,Yes
Syncope,Constant Or Intermittent?,Pattern,Constant/Intermittent,Medium,Dermatology,No
Syncope,Does It Affect Daily Activities?,Impact,Yes/No,High,Emergency,Yes
Syncope,Any Emergency Warning Signs?,Emergency Flag,Yes/No,Low,General,No
Wheezing,Since How Many Days?,Duration,Numeric,Medium,Respiratory,Yes
Wheezing,"Mild, Moderate Or Severe?",Severity,Mild/Moderate/Severe,High,Cardiac,No
Wheezing,How Frequently Does It Occur?,Frequency,Occasional/Frequent,Low,Neurology,Yes
Wheezing,When Did It Start Worsening?,Progression,Numeric,Medium,Gi,No
Wheezing,Any Associated Symptoms Present?,Associated Symptom,Yes/No,High,Endocrine,Yes
Wheezing,Triggered By Activity?,Trigger,Yes/No,Low,Msk,No
Wheezing,Localized Or Widespread?,Location,Localized/Diffuse,Medium,Dermatology,Yes
Wheezing,Constant Or Intermittent?,Pattern,Constant/Intermittent,High,Emergency,No
Wheezing,Does It Affect Daily Activities?,Impact,Yes/No,Low,General,Yes
Wheezing,Any Emergency Warning Signs?,Emergency Flag,Yes/No,Medium,Respiratory,No
Sore Throat,Since How Many Days?,Duration,Numeric,High,Cardiac,Yes
Sore Throat,"Mild, Moderate Or Severe?",Severity,Mild/Moderate/Severe,Low,Neurology,No
Sore Throat,How Frequently Does It Occur?,Frequency,Occasional/Frequent,Medium,Gi,Yes
Sore Throat,When Did It Start Worsening?,Progression,Numeric,High,Endocrine,No
Sore Throat,Any Associated Symptoms Present?,Associated Symptom,Yes/No,Low,Msk,Yes
Sore Throat,Triggered By Activity?,Trigger,Yes/No,Medium,Dermatology,No
Sore Throat,Localized Or Widespread?,Location,Localized/Diffuse,High,Emergency,Yes
Sore Throat,Constant Or Intermittent?,Pattern,Constant/Intermittent,Low,General,No
Sore Throat,Does It Affect Daily Activities?,Impact,Yes/No,Medium,Respiratory,Yes
Sore Throat,Any Emergency Warning Signs?,Emergency Flag,Yes/No,High,Cardiac,No
Runny Nose,Since How Many Days?,Duration,Numeric,Low,Neurology,Yes
Runny Nose,"Mild, Moderate Or Severe?",Severity,Mild/Moderate/Severe,Medium,Gi,No
Runny Nose,How Frequently Does It Occur?,Frequency,Occasional/Frequent,High,Endocrine,Yes
Runny Nose,When Did It Start Worsening?,Progression,Numeric,Low,Msk,No
Runny Nose,Any Associated Symptoms Present?,Associated Symptom,Yes/No,Medium,Dermatology,Yes
Runny Nose,Triggered By Activity?,Trigger,Yes/No,High,Emergency,No
Runny Nose,Localized Or Widespread?,Location,Localized/Diffuse,Low,General,Yes
Runny Nose,Constant Or Intermittent?,Pattern,Constant/Intermittent,Medium,Respiratory,No
Runny Nose,Does It Affect Daily Activities?,Impact,Yes/No,High,Cardiac,Yes
Runny Nose,Any Emergency Warning Signs?,Emergency Flag,Yes/No,Low,Neurology,No
Nasal Congestion,Since How Many Days?,Duration,Numeric,Medium,Gi,Yes
Nasal Congestion,"Mild, Moderate Or Severe?",Severity,Mild/Moderate/Severe,High,Endocrine,No
Nasal Congestion,How Frequently Does It Occur?,Frequency,Occasional/Frequent,Low,Msk,Yes
Nasal Congestion,When Did It Start Worsening?,Progression,Numeric,Medium,Dermatology,No
Nasal Congestion,Any Associated Symptoms Present?,Associated Symptom,Yes/No,High,Emergency,Yes
Nasal Congestion,Triggered By Activity?,Trigger,Yes/No,Low,General,No
Nasal Congestion,Localized Or Widespread?,Location,Localized/Diffuse,Medium,Respiratory,Yes
Nasal Congestion,Constant Or Intermittent?,Pattern,Constant/Intermittent,High,Cardiac,No
Nasal Congestion,Does It Affect Daily Activities?,Impact,Yes/No,Low,Neurology,Yes
Nasal Congestion,Any Emergency Warning Signs?,Emergency Flag,Yes/No,Medium,Gi,No
Chills,Since How Many Days?,Duration,Numeric,High,Endocrine,Yes
Chills,"Mild, Moderate Or Severe?",Severity,Mild/Moderate/Severe,Low,Msk,No
Chills,How Frequently Does It Occur?,Frequency,Occasional/Frequent,Medium,Dermatology,Yes
Chills,When Did It Start Worsening?,Progression,Numeric,High,Emergency,No
Chills,Any Associated Symptoms Present?,Associated Symptom,Yes/No,Low,General,Yes
Chills,Triggered By Activity?,Trigger,Yes/No,Medium,Respiratory,No
Chills,Localized Or Widespread?,Location,Localized/Diffuse,High,Cardiac,Yes
Chills,Constant Or Intermittent?,Pattern,Constant/Intermittent,Low,Neurology,No
Chills,Does It Affect Daily Activities?,Impact,Yes/No,Medium,Gi,Yes
Chills,Any Emergency Warning Signs?,Emergency Flag,Yes/No,High,Endocrine,No
Night Sweats,Since How Many Days?,Duration,Numeric,Low,Msk,Yes
Night Sweats,"Mild, Moderate Or Severe?",Severity,Mild/Moderate/Severe,Medium,Dermatology,No
Night Sweats,How Frequently Does It Occur?,Frequency,Occasional/Frequent,High,Emergency,Yes
Night Sweats,When Did It Start Worsening?,Progression,Numeric,Low,General,No
Night Sweats,Any Associated Symptoms Present?,Associated Symptom,Yes/No,Medium,Respiratory,Yes
Night Sweats,Triggered By Activity?,Trigger,Yes/No,High,Cardiac,No
Night Sweats,Localized Or Widespread?,Location,Localized/Diffuse,Low,Neurology,Yes
Night Sweats,Constant Or Intermittent?,Pattern,Constant/Intermittent,Medium,Gi,No
Night Sweats,Does It Affect Daily Activities?,Impact,Yes/No,High,Endocrine,Yes
Night Sweats,Any Emergency Warning Signs?,Emergency Flag,Yes/No,Low,Msk,No
Weight Loss,Since How Many Days?,Duration,Numeric,Medium,Dermatology,Yes
Weight Loss,"Mild, Moderate Or Severe?",Severity,Mild/Moderate/Severe,High,Emergency,No
Weight Loss,How Frequently Does It Occur?,Frequency,Occasional/Frequent,Low,General,Yes
Weight Loss,When Did It Start Worsening?,Progression,Numeric,Medium,Respiratory,No
Weight Loss,Any Associated Symptoms Present?,Associated Symptom,Yes/No,High,Cardiac,Yes
Weight Loss,Triggered By Activity?,Trigger,Yes/No,Low,Neurology,No
Weight Loss,Localized Or Widespread?,Location,Localized/Diffuse,Medium,Gi,Yes
Weight Loss,Constant Or Intermittent?,Pattern,Constant/Intermittent,High,Endocrine,No
Weight Loss,Does It Affect Daily Activities?,Impact,Yes/No,Low,Msk,Yes
Weight Loss,Any Emergency Warning Signs?,Emergency Flag,Yes/No,Medium,Dermatology,No
Loss Of Appetite,Since How Many Days?,Duration,Numeric,High,Emergency,Yes
Loss Of Appetite,"Mild, Moderate Or Severe?",Severity,Mild/Moderate/Severe,Low,General,No
Loss Of Appetite,How Frequently Does It Occur?,Frequency,Occasional/Frequent,Medium,Respiratory,Yes
Loss Of Appetite,When Did It Start Worsening?,Progression,Numeric,High,Cardiac,No
Loss Of Appetite,Any Associated Symptoms Present?,Associated Symptom,Yes/No,Low,Neurology,Yes
Loss Of Appetite,Triggered By Activity?,Trigger,Yes/No,Medium,Gi,No
Loss Of Appetite,Localized Or Widespread?,Location,Localized/Diffuse,High,Endocrine,Yes
Loss Of Appetite,Constant Or Intermittent?,Pattern,Constant/Intermittent,Low,Msk,No
Loss Of Appetite,Does It Affect Daily Activities?,Impact,Yes/No,Medium,Dermatology,Yes
Loss Of Appetite,Any Emergency Warning Signs?,Emergency Flag,Yes/No,High,Emergency,No
Weakness,Since How Many Days?,Duration,Numeric,Low,General,Yes
Weakness,"Mild, Moderate Or Severe?",Severity,Mild/Moderate/Severe,Medium,Respiratory,No
Weakness,How Frequently Does It Occur?,Frequency,Occasional/Frequent,High,Cardiac,Yes
Weakness,When Did It Start Worsening?,Progression,Numeric,Low,Neurology,No
Weakness,Any Associated Symptoms Present?,Associated Symptom,Yes/No,Medium,Gi,Yes
Weakness,Triggered By Activity?,Trigger,Yes/No,High,Endocrine,No
Weakness,Localized Or Widespread?,Location,Localized/Diffuse,Low,Msk,Yes
Weakness,Constant Or Intermittent?,Pattern,Constant/Intermittent,Medium,Dermatology,No
Weakness,Does It Affect Daily Activities?,Impact,Yes/No,High,Emergency,Yes
Weakness,Any Emergency Warning Signs?,Emergency Flag,Yes/No,Low,General,No
Confusion,Since How Many Days?,Duration,Numeric,Medium,Respiratory,Yes
Confusion,"Mild, Moderate Or Severe?",Severity,Mild/Moderate/Severe,High,Cardiac,No
Confusion,How Frequently Does It Occur?,Frequency,Occasional/Frequent,Low,Neurology,Yes
Confusion,When Did It Start Worsening?,Progression,Numeric,Medium,Gi,No
Confusion,Any Associated Symptoms Present?,Associated Symptom,Yes/No,High,Endocrine,Yes
Confusion,Triggered By Activity?,Trigger,Yes/No,Low,Msk,No
Confusion,Localized Or Widespread?,Location,Localized/Diffuse,Medium,Dermatology,Yes
Confusion,Constant Or Intermittent?,Pattern,Constant/Intermittent,High,Emergency,No
Confusion,Does It Affect Daily Activities?,Impact,Yes/No,Low,General,Yes
Confusion,Any Emergency Warning Signs?,Emergency Flag,Yes/No,Medium,Respiratory,No
Memory Loss,Since How Many Days?,Duration,Numeric,High,Cardiac,Yes
Memory Loss,"Mild, Moderate Or Severe?",Severity,Mild/Moderate/Severe,Low,Neurology,No
Memory Loss,How Frequently Does It Occur?,Frequency,Occasional/Frequent,Medium,Gi,Yes
Memory Loss,When Did It Start Worsening?,Progression,Numeric,High,Endocrine,No
Memory Loss,Any Associated Symptoms Present?,Associated Symptom,Yes/No,Low,Msk,Yes
Memory Loss,Triggered By Activity?,Trigger,Yes/No,Medium,Dermatology,No
Memory Loss,Localized Or Widespread?,Location,Localized/Diffuse,High,Emergency,Yes
Memory Loss,Constant Or Intermittent?,Pattern,Constant/Intermittent,Low,General,No
Memory Loss,Does It Affect Daily Activities?,Impact,Yes/No,Medium,Respiratory,Yes
Memory Loss,Any Emergency Warning Signs?,Emergency Flag,Yes/No,High,Cardiac,No
Seizure,Since How Many Days?,Duration,Numeric,Low,Neurology,Yes
Seizure,"Mild, Moderate Or Severe?",Severity,Mild/Moderate/Severe,Medium,Gi,No
Seizure,How Frequently Does It Occur?,Frequency,Occasional/Frequent,High,Endocrine,Yes
Seizure,When Did It Start Worsening?,Progression,Numeric,Low,Msk,No
Seizure,Any Associated Symptoms Present?,Associated Symptom,Yes/No,Medium,Dermatology,Yes
Seizure,Triggered By Activity?,Trigger,Yes/No,High,Emergency,No
Seizure,Localized Or Widespread?,Location,Localized/Diffuse,Low,General,Yes
Seizure,Constant Or Intermittent?,Pattern,Constant/Intermittent,Medium,Respiratory,No
Seizure,Does It Affect Daily Activities?,Impact,Yes/No,High,Cardiac,Yes
Seizure,Any Emergency Warning Signs?,Emergency Flag,Yes/No,Low,Neurology,No
Numbness,Since How Many Days?,Duration,Numeric,Medium,Gi,Yes
Numbness,"Mild, Moderate Or Severe?",Severity,Mild/Moderate/Severe,High,Endocrine,No
Numbness,How Frequently Does It Occur?,Frequency,Occasional/Frequent,Low,Msk,Yes
Numbness,When Did It Start Worsening?,Progression,Numeric,Medium,Dermatology,No
Numbness,Any Associated Symptoms Present?,Associated Symptom,Yes/No,High,Emergency,Yes
Numbness,Triggered By Activity?,Trigger,Yes/No,Low,General,No
Numbness,Localized Or Widespread?,Location,Localized/Diffuse,Medium,Respiratory,Yes
Numbness,Constant Or Intermittent?,Pattern,Constant/Intermittent,High,Cardiac,No
Numbness,Does It Affect Daily Activities?,Impact,Yes/No,Low,Neurology,Yes
Numbness,Any Emergency Warning Signs?,Emergency Flag,Yes/No,Medium,Gi,No
Tingling,Since How Many Days?,Duration,Numeric,High,Endocrine,Yes
Tingling,"Mild, Moderate Or Severe?",Severity,Mild/Moderate/Severe,Low,Msk,No
Tingling,How Frequently Does It Occur?,Frequency,Occasional/Frequent,Medium,Dermatology,Yes
Tingling,When Did It Start Worsening?,Progression,Numeric,High,Emergency,No
Tingling,Any Associated Symptoms Present?,Associated Symptom,Yes/No,Low,General,Yes
Tingling,Triggered By Activity?,Trigger,Yes/No,Medium,Respiratory,No
Tingling,Localized Or Widespread?,Location,Localized/Diffuse,High,Cardiac,Yes
Tingling,Constant Or Intermittent?,Pattern,Constant/Intermittent,Low,Neurology,No
Tingling,Does It Affect Daily Activities?,Impact,Yes/No,Medium,Gi,Yes
Tingling,Any Emergency Warning Signs?,Emergency Flag,Yes/No,High,Endocrine,No
Tremor,Since How Many Days?,Duration,Numeric,Low,Msk,Yes
Tremor,"Mild, Moderate Or Severe?",Severity,Mild/Moderate/Severe,Medium,Dermatology,No
Tremor,How Frequently Does It Occur?,Frequency,Occasional/Frequent,High,Emergency,Yes
Tremor,When Did It Start Worsening?,Progression,Numeric,Low,General,No
Tremor,Any Associated Symptoms Present?,Associated Symptom,Yes/No,Medium,Respiratory,Yes
Tremor,Triggered By Activity?,Trigger,Yes/No,High,Cardiac,No
Tremor,Localized Or Widespread?,Location,Localized/Diffuse,Low,Neurology,Yes
Tremor,Constant Or Intermittent?,Pattern,Constant/Intermittent,Medium,Gi,No
Tremor,Does It Affect Daily Activities?,Impact,Yes/No,High,Endocrine,Yes
