disease,description,cause,category,severity,disease_progression,common_complications,prevalence,primary_management
Inflammatory Renal Syndrome 39,Inflammatory Renal Syndrome 39 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,5,6,3,Chronic Condition Requiring Long-Term Management,Metabolic Imbalance,1,0
Metabolic Renal Syndrome 40,Metabolic Renal Syndrome 40 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,2,0,4,Potentially Severe If Untreated,Neurological Complications,0,3
Acute Hepatic Syndrome 41,Acute Hepatic Syndrome 41 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,7,4,1,Acute Onset May Resolve With Care,Organ Dysfunction,2,2
Chronic Hepatic Syndrome 42,Chronic Hepatic Syndrome 42 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,1,1,2,Progressive Condition Needing Monitoring,Secondary Infection,1,1
Autoimmune Hepatic Syndrome 43,Autoimmune Hepatic Syndrome 43 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,3,5,3,Chronic Condition Requiring Long-Term Management,Inflammation Complications,0,0
Idiopathic Hepatic Syndrome 44,Idiopathic Hepatic Syndrome 44 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,4,2,4,Potentially Severe If Untreated,Metabolic Imbalance,2,3
Primary Hepatic Syndrome 45,Primary Hepatic Syndrome 45 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,0,7,1,Acute Onset May Resolve With Care,Neurological Complications,1,2
Secondary Hepatic Syndrome 46,Secondary Hepatic Syndrome 46 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,6,3,2,Progressive Condition Needing Monitoring,Organ Dysfunction,0,1
Progressive Hepatic Syndrome 47,Progressive Hepatic Syndrome 47 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,5,6,3,Chronic Condition Requiring Long-Term Management,Secondary Infection,2,0
Congenital Hepatic Syndrome 48,Congenital Hepatic Syndrome 48 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,2,0,4,Potentially Severe If Untreated,Inflammation Complications,1,3
Inflammatory Hepatic Syndrome 49,Inflammatory Hepatic Syndrome 49 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,7,4,1,Acute Onset May Resolve With Care,Metabolic Imbalance,0,2
Metabolic Hepatic Syndrome 50,Metabolic Hepatic Syndrome 50 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,1,1,2,Progressive Condition Needing Monitoring,Neurological Complications,2,1
Acute Endocrine Syndrome 51,Acute Endocrine Syndrome 51 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,3,5,3,Chronic Condition Requiring Long-Term Management,Organ Dysfunction,1,0
Chronic Endocrine Syndrome 52,Chronic Endocrine Syndrome 52 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,4,2,4,Potentially Severe If Untreated,Secondary Infection,0,3
Autoimmune Endocrine Syndrome 53,Autoimmune Endocrine Syndrome 53 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,0,7,1,Acute Onset May Resolve With Care,Inflammation Complications,2,2
Idiopathic Endocrine Syndrome 54,Idiopathic Endocrine Syndrome 54 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,6,3,2,Progressive Condition Needing Monitoring,Metabolic Imbalance,1,1
Primary Endocrine Syndrome 55,Primary Endocrine Syndrome 55 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,5,6,3,Chronic Condition Requiring Long-Term Management,Neurological Complications,0,0
Secondary Endocrine Syndrome 56,Secondary Endocrine Syndrome 56 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,2,0,4,Potentially Severe If Untreated,Organ Dysfunction,2,3
Progressive Endocrine Syndrome 57,Progressive Endocrine Syndrome 57 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,7,4,1,Acute Onset May Resolve With Care,Secondary Infection,1,2
Congenital Endocrine Syndrome 58,Congenital Endocrine Syndrome 58 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,1,1,2,Progressive Condition Needing Monitoring,Inflammation Complications,0,1
Inflammatory Endocrine Syndrome 59,Inflammatory Endocrine Syndrome 59 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,3,5,3,Chronic Condition Requiring Long-Term Management,Metabolic Imbalance,2,0
Metabolic Endocrine Syndrome 60,Metabolic Endocrine Syndrome 60 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,4,2,4,Potentially Severe If Untreated,Neurological Complications,1,3
Acute Gastro Syndrome 61,Acute Gastro Syndrome 61 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,0,7,1,Acute Onset May Resolve With Care,Organ Dysfunction,0,2
Chronic Gastro Syndrome 62,Chronic Gastro Syndrome 62 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,6,3,2,Progressive Condition Needing Monitoring,Secondary Infection,2,1
Autoimmune Gastro Syndrome 63,Autoimmune Gastro Syndrome 63 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,5,6,3,Chronic Condition Requiring Long-Term Management,Inflammation Complications,1,0
Idiopathic Gastro Syndrome 64,Idiopathic Gastro Syndrome 64 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,2,0,4,Potentially Severe If Untreated,Metabolic Imbalance,0,3
Primary Gastro Syndrome 65,Primary Gastro Syndrome 65 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,7,4,1,Acute Onset May Resolve With Care,Neurological Complications,2,2
Secondary Gastro Syndrome 66,Secondary Gastro Syndrome 66 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,1,1,2,Progressive Condition Needing Monitoring,Organ Dysfunction,1,1
Progressive Gastro Syndrome 67,Progressive Gastro Syndrome 67 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,3,5,3,Chronic Condition Requiring Long-Term Management,Secondary Infection,0,0
Congenital Gastro Syndrome 68,Congenital Gastro Syndrome 68 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,4,2,4,Potentially Severe If Untreated,Inflammation Complications,2,3
Inflammatory Gastro Syndrome 69,Inflammatory Gastro Syndrome 69 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,0,7,1,Acute Onset May Resolve With Care,Metabolic Imbalance,1,2
Metabolic Gastro Syndrome 70,Metabolic Gastro Syndrome 70 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,6,3,2,Progressive Condition Needing Monitoring,Neurological Complications,0,1
Acute Dermatologic Syndrome 71,Acute Dermatologic Syndrome 71 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,5,6,3,Chronic Condition Requiring Long-Term Management,Organ Dysfunction,2,0
Chronic Dermatologic Syndrome 72,Chronic Dermatologic Syndrome 72 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,2,0,4,Potentially Severe If Untreated,Secondary Infection,1,3
Autoimmune Dermatologic Syndrome 73,Autoimmune Dermatologic Syndrome 73 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,7,4,1,Acute Onset May Resolve With Care,Inflammation Complications,0,2
Idiopathic Dermatologic Syndrome 74,Idiopathic Dermatologic Syndrome 74 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,1,1,2,Progressive Condition Needing Monitoring,Metabolic Imbalance,2,1
Primary Dermatologic Syndrome 75,Primary Dermatologic Syndrome 75 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,3,5,3,Chronic Condition Requiring Long-Term Management,Neurological Complications,1,0
Secondary Dermatologic Syndrome 76,Secondary Dermatologic Syndrome 76 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,4,2,4,Potentially Severe If Untreated,Organ Dysfunction,0,3
Progressive Dermatologic Syndrome 77,Progressive Dermatologic Syndrome 77 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,0,7,1,Acute Onset May Resolve With Care,Secondary Infection,2,2
Congenital Dermatologic Syndrome 78,Congenital Dermatologic Syndrome 78 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,6,3,2,Progressive Condition Needing Monitoring,Inflammation Complications,1,1
Inflammatory Dermatologic Syndrome 79,Inflammatory Dermatologic Syndrome 79 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,5,6,3,Chronic Condition Requiring Long-Term Management,Metabolic Imbalance,0,0
Metabolic Dermatologic Syndrome 80,Metabolic Dermatologic Syndrome 80 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,2,0,4,Potentially Severe If Untreated,Neurological Complications,2,3
Acute Hematologic Syndrome 81,Acute Hematologic Syndrome 81 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,7,4,1,Acute Onset May Resolve With Care,Organ Dysfunction,1,2
Chronic Hematologic Syndrome 82,Chronic Hematologic Syndrome 82 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,1,1,2,Progressive Condition Needing Monitoring,Secondary Infection,0,1
Autoimmune Hematologic Syndrome 83,Autoimmune Hematologic Syndrome 83 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,3,5,3,Chronic Condition Requiring Long-Term Management,Inflammation Complications,2,0
Idiopathic Hematologic Syndrome 84,Idiopathic Hematologic Syndrome 84 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,4,2,4,Potentially Severe If Untreated,Metabolic Imbalance,1,3
Primary Hematologic Syndrome 85,Primary Hematologic Syndrome 85 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,0,7,1,Acute Onset May Resolve With Care,Neurological Complications,0,2
Secondary Hematologic Syndrome 86,Secondary Hematologic Syndrome 86 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,6,3,2,Progressive Condition Needing Monitoring,Organ Dysfunction,2,1
Progressive Hematologic Syndrome 87,Progressive Hematologic Syndrome 87 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,5,6,3,Chronic Condition Requiring Long-Term Management,Secondary Infection,1,0
Congenital Hematologic Syndrome 88,Congenital Hematologic Syndrome 88 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,2,0,4,Potentially Severe If Untreated,Inflammation Complications,0,3
Inflammatory Hematologic Syndrome 89,Inflammatory Hematologic Syndrome 89 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,7,4,1,Acute Onset May Resolve With Care,Metabolic Imbalance,2,2
Metabolic Hematologic Syndrome 90,Metabolic Hematologic Syndrome 90 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,1,1,2,Progressive Condition Needing Monitoring,Neurological Complications,1,1
Acute Musculoskeletal Syndrome 91,Acute Musculoskeletal Syndrome 91 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,3,5,3,Chronic Condition Requiring Long-Term Management,Organ Dysfunction,0,0
Chronic Musculoskeletal Syndrome 92,Chronic Musculoskeletal Syndrome 92 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,4,2,4,Potentially Severe If Untreated,Secondary Infection,2,3
Autoimmune Musculoskeletal Syndrome 93,Autoimmune Musculoskeletal Syndrome 93 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,0,7,1,Acute Onset May Resolve With Care,Inflammation Complications,1,2
Idiopathic Musculoskeletal Syndrome 94,Idiopathic Musculoskeletal Syndrome 94 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,6,3,2,Progressive Condition Needing Monitoring,Metabolic Imbalance,0,1
Primary Musculoskeletal Syndrome 95,Primary Musculoskeletal Syndrome 95 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,5,6,3,Chronic Condition Requiring Long-Term Management,Neurological Complications,2,0
Secondary Musculoskeletal Syndrome 96,Secondary Musculoskeletal Syndrome 96 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,2,0,4,Potentially Severe If Untreated,Organ Dysfunction,1,3
Progressive Musculoskeletal Syndrome 97,Progressive Musculoskeletal Syndrome 97 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,7,4,1,Acute Onset May Resolve With Care,Secondary Infection,0,2
Congenital Musculoskeletal Syndrome 98,Congenital Musculoskeletal Syndrome 98 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,1,1,2,Progressive Condition Needing Monitoring,Inflammation Complications,2,1
Inflammatory Musculoskeletal Syndrome 99,Inflammatory Musculoskeletal Syndrome 99 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,3,5,3,Chronic Condition Requiring Long-Term Management,Metabolic Imbalance,1,0
Metabolic Musculoskeletal Syndrome 100,Metabolic Musculoskeletal Syndrome 100 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,4,2,4,Potentially Severe If Untreated,Neurological Complications,0,3
Acute Respiratory Disorder 101,Acute Respiratory Disorder 101 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,0,7,1,Acute Onset May Resolve With Care,Organ Dysfunction,2,2
Chronic Respiratory Disorder 102,Chronic Respiratory Disorder 102 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,6,3,2,Progressive Condition Needing Monitoring,Secondary Infection,1,1
Autoimmune Respiratory Disorder 103,Autoimmune Respiratory Disorder 103 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,5,6,3,Chronic Condition Requiring Long-Term Management,Inflammation Complications,0,0
Idiopathic Respiratory Disorder 104,Idiopathic Respiratory Disorder 104 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,2,0,4,Potentially Severe If Untreated,Metabolic Imbalance,2,3
Primary Respiratory Disorder 105,Primary Respiratory Disorder 105 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,7,4,1,Acute Onset May Resolve With Care,Neurological Complications,1,2
Secondary Respiratory Disorder 106,Secondary Respiratory Disorder 106 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,1,1,2,Progressive Condition Needing Monitoring,Organ Dysfunction,0,1
Progressive Respiratory Disorder 107,Progressive Respiratory Disorder 107 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,3,5,3,Chronic Condition Requiring Long-Term Management,Secondary Infection,2,0
Congenital Respiratory Disorder 108,Congenital Respiratory Disorder 108 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,4,2,4,Potentially Severe If Untreated,Inflammation Complications,1,3
Inflammatory Respiratory Disorder 109,Inflammatory Respiratory Disorder 109 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,0,7,1,Acute Onset May Resolve With Care,Metabolic Imbalance,0,2
Metabolic Respiratory Disorder 110,Metabolic Respiratory Disorder 110 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,6,3,2,Progressive Condition Needing Monitoring,Neurological Complications,2,1
Acute Cardiac Disorder 111,Acute Cardiac Disorder 111 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,5,6,3,Chronic Condition Requiring Long-Term Management,Organ Dysfunction,1,0
Chronic Cardiac Disorder 112,Chronic Cardiac Disorder 112 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,2,0,4,Potentially Severe If Untreated,Secondary Infection,0,3
Autoimmune Cardiac Disorder 113,Autoimmune Cardiac Disorder 113 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,7,4,1,Acute Onset May Resolve With Care,Inflammation Complications,2,2
Idiopathic Cardiac Disorder 114,Idiopathic Cardiac Disorder 114 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,1,1,2,Progressive Condition Needing Monitoring,Metabolic Imbalance,1,1
Primary Cardiac Disorder 115,Primary Cardiac Disorder 115 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,3,5,3,Chronic Condition Requiring Long-Term Management,Neurological Complications,0,0
Secondary Cardiac Disorder 116,Secondary Cardiac Disorder 116 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,4,2,4,Potentially Severe If Untreated,Organ Dysfunction,2,3
Progressive Cardiac Disorder 117,Progressive Cardiac Disorder 117 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,0,7,1,Acute Onset May Resolve With Care,Secondary Infection,1,2
Congenital Cardiac Disorder 118,Congenital Cardiac Disorder 118 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,6,3,2,Progressive Condition Needing Monitoring,Inflammation Complications,0,1
Inflammatory Cardiac Disorder 119,Inflammatory Cardiac Disorder 119 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,5,6,3,Chronic Condition Requiring Long-Term Management,Metabolic Imbalance,2,0
Metabolic Cardiac Disorder 120,Metabolic Cardiac Disorder 120 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,2,0,4,Potentially Severe If Untreated,Neurological Complications,1,3
Acute Neurological Disorder 121,Acute Neurological Disorder 121 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,7,4,1,Acute Onset May Resolve With Care,Organ Dysfunction,0,2
Chronic Neurological Disorder 122,Chronic Neurological Disorder 122 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,1,1,2,Progressive Condition Needing Monitoring,Secondary Infection,2,1
Autoimmune Neurological Disorder 123,Autoimmune Neurological Disorder 123 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,3,5,3,Chronic Condition Requiring Long-Term Management,Inflammation Complications,1,0
Idiopathic Neurological Disorder 124,Idiopathic Neurological Disorder 124 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,4,2,4,Potentially Severe If Untreated,Metabolic Imbalance,0,3
Primary Neurological Disorder 125,Primary Neurological Disorder 125 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,0,7,1,Acute Onset May Resolve With Care,Neurological Complications,2,2
Secondary Neurological Disorder 126,Secondary Neurological Disorder 126 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,6,3,2,Progressive Condition Needing Monitoring,Organ Dysfunction,1,1
Progressive Neurological Disorder 127,Progressive Neurological Disorder 127 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,5,6,3,Chronic Condition Requiring Long-Term Management,Secondary Infection,0,0
Congenital Neurological Disorder 128,Congenital Neurological Disorder 128 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,2,0,4,Potentially Severe If Untreated,Inflammation Complications,2,3
Inflammatory Neurological Disorder 129,Inflammatory Neurological Disorder 129 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,7,4,1,Acute Onset May Resolve With Care,Metabolic Imbalance,1,2
Metabolic Neurological Disorder 130,Metabolic Neurological Disorder 130 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,1,1,2,Progressive Condition Needing Monitoring,Neurological Complications,0,1
Acute Renal Disorder 131,Acute Renal Disorder 131 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,3,5,3,Chronic Condition Requiring Long-Term Management,Organ Dysfunction,2,0
Chronic Renal Disorder 132,Chronic Renal Disorder 132 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,4,2,4,Potentially Severe If Untreated,Secondary Infection,1,3
Autoimmune Renal Disorder 133,Autoimmune Renal Disorder 133 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,0,7,1,Acute Onset May Resolve With Care,Inflammation Complications,0,2
Idiopathic Renal Disorder 134,Idiopathic Renal Disorder 134 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,6,3,2,Progressive Condition Needing Monitoring,Metabolic Imbalance,2,1
Primary Renal Disorder 135,Primary Renal Disorder 135 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,5,6,3,Chronic Condition Requiring Long-Term Management,Neurological Complications,1,0
Secondary Renal Disorder 136,Secondary Renal Disorder 136 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,2,0,4,Potentially Severe If Untreated,Organ Dysfunction,0,3
Progressive Renal Disorder 137,Progressive Renal Disorder 137 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,7,4,1,Acute Onset May Resolve With Care,Secondary Infection,2,2
