disease,category,severity,text_chunk,chunk_length
Secondary Neurological Syndrome 26,Cardiovascular,Moderate,"Disease: Secondary Neurological Syndrome 26
Description: Secondary Neurological Syndrome 26 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Bacterial
Category: Cardiovascular
Severity: Moderate
Disease Progression: Progressive condition needing monitoring
Common Complications: Organ dysfunction
Clinical Management: ",368
Progressive Neurological Syndrome 27,Neurology,High,"Disease: Progressive Neurological Syndrome 27
Description: Progressive Neurological Syndrome 27 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Genetic
Category: Neurology
Severity: High
Disease Progression: Chronic condition requiring long-term management
Common Complications: Secondary infection
Clinical Management: ",371
Congenital Neurological Syndrome 28,Endocrine,Critical,"Disease: Congenital Neurological Syndrome 28
Description: Congenital Neurological Syndrome 28 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Lifestyle
Category: Endocrine
Severity: Critical
Disease Progression: Potentially severe if untreated
Common Complications: Inflammation complications
Clinical Management: ",365
Inflammatory Neurological Syndrome 29,Respiratory,Low,"Disease: Inflammatory Neurological Syndrome 29
Description: Inflammatory Neurological Syndrome 29 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Autoimmune
Category: Respiratory
Severity: Low
Disease Progression: Acute onset may resolve with care
Common Complications: Metabolic imbalance
Clinical Management: ",362
Metabolic Neurological Syndrome 30,GI,Moderate,"Disease: Metabolic Neurological Syndrome 30
Description: Metabolic Neurological Syndrome 30 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Unknown
Category: GI
Severity: Moderate
Disease Progression: Progressive condition needing monitoring
Common Complications: Neurological complications
Clinical Management: ",363
Acute Renal Syndrome 31,Renal,High,"Disease: Acute Renal Syndrome 31
Description: Acute Renal Syndrome 31 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Metabolic
Category: Renal
Severity: High
Disease Progression: Chronic condition requiring long-term management
Common Complications: Organ dysfunction
Clinical Management: ",341
Chronic Renal Syndrome 32,Autoimmune,Critical,"Disease: Chronic Renal Syndrome 32
Description: Chronic Renal Syndrome 32 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Environmental
Category: Autoimmune
Severity: Critical
Disease Progression: Potentially severe if untreated
Common Complications: Secondary infection
Clinical Management: ",343
Autoimmune Renal Syndrome 33,Infectious,Low,"Disease: Autoimmune Renal Syndrome 33
Description: Autoimmune Renal Syndrome 33 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Viral
Category: Infectious
Severity: Low
Disease Progression: Acute onset may resolve with care
Common Complications: Inflammation complications
Clinical Management: ",345
Idiopathic Renal Syndrome 34,Cardiovascular,Moderate,"Disease: Idiopathic Renal Syndrome 34
Description: Idiopathic Renal Syndrome 34 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Bacterial
Category: Cardiovascular
Severity: Moderate
Disease Progression: Progressive condition needing monitoring
Common Complications: Metabolic imbalance
Clinical Management: ",358
Primary Renal Syndrome 35,Neurology,High,"Disease: Primary Renal Syndrome 35
Description: Primary Renal Syndrome 35 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Genetic
Category: Neurology
Severity: High
Disease Progression: Chronic condition requiring long-term management
Common Complications: Neurological complications
Clinical Management: ",356
Secondary Renal Syndrome 36,Endocrine,Critical,"Disease: Secondary Renal Syndrome 36
Description: Secondary Renal Syndrome 36 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Lifestyle
Category: Endocrine
Severity: Critical
Disease Progression: Potentially severe if untreated
Common Complications: Organ dysfunction
Clinical Management: ",340
Progressive Renal Syndrome 37,Respiratory,Low,"Disease: Progressive Renal Syndrome 37
Description: Progressive Renal Syndrome 37 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Autoimmune
Category: Respiratory
Severity: Low
Disease Progression: Acute onset may resolve with care
Common Complications: Secondary infection
Clinical Management: ",346
Congenital Renal Syndrome 38,GI,Moderate,"Disease: Congenital Renal Syndrome 38
Description: Congenital Renal Syndrome 38 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Unknown
Category: GI
Severity: Moderate
Disease Progression: Progressive condition needing monitoring
Common Complications: Inflammation complications
Clinical Management: ",351
Inflammatory Renal Syndrome 39,Renal,High,"Disease: Inflammatory Renal Syndrome 39
Description: Inflammatory Renal Syndrome 39 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Metabolic
Category: Renal
Severity: High
Disease Progression: Chronic condition requiring long-term management
Common Complications: Metabolic imbalance
Clinical Management: ",357
Metabolic Renal Syndrome 40,Autoimmune,Critical,"Disease: Metabolic Renal Syndrome 40
Description: Metabolic Renal Syndrome 40 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Environmental
Category: Autoimmune
Severity: Critical
Disease Progression: Potentially severe if untreated
Common Complications: Neurological complications
Clinical Management: ",354
Acute Hepatic Syndrome 41,Infectious,Low,"Disease: Acute Hepatic Syndrome 41
Description: Acute Hepatic Syndrome 41 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Viral
Category: Infectious
Severity: Low
Disease Progression: Acute onset may resolve with care
Common Complications: Organ dysfunction
Clinical Management: ",330
Chronic Hepatic Syndrome 42,Cardiovascular,Moderate,"Disease: Chronic Hepatic Syndrome 42
Description: Chronic Hepatic Syndrome 42 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Bacterial
Category: Cardiovascular
Severity: Moderate
Disease Progression: Progressive condition needing monitoring
Common Complications: Secondary infection
Clinical Management: ",356
Autoimmune Hepatic Syndrome 43,Neurology,High,"Disease: Autoimmune Hepatic Syndrome 43
Description: Autoimmune Hepatic Syndrome 43 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Genetic
Category: Neurology
Severity: High
Disease Progression: Chronic condition requiring long-term management
Common Complications: Inflammation complications
Clinical Management: ",366
Idiopathic Hepatic Syndrome 44,Endocrine,Critical,"Disease: Idiopathic Hepatic Syndrome 44
Description: Idiopathic Hepatic Syndrome 44 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Lifestyle
Category: Endocrine
Severity: Critical
Disease Progression: Potentially severe if untreated
Common Complications: Metabolic imbalance
Clinical Management: ",348
Primary Hepatic Syndrome 45,Respiratory,Low,"Disease: Primary Hepatic Syndrome 45
Description: Primary Hepatic Syndrome 45 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Autoimmune
Category: Respiratory
Severity: Low
Disease Progression: Acute onset may resolve with care
Common Complications: Neurological complications
Clinical Management: ",349
Secondary Hepatic Syndrome 46,GI,Moderate,"Disease: Secondary Hepatic Syndrome 46
Description: Secondary Hepatic Syndrome 46 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Unknown
Category: GI
Severity: Moderate
Disease Progression: Progressive condition needing monitoring
Common Complications: Organ dysfunction
Clinical Management: ",344
Progressive Hepatic Syndrome 47,Renal,High,"Disease: Progressive Hepatic Syndrome 47
Description: Progressive Hepatic Syndrome 47 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Metabolic
Category: Renal
Severity: High
Disease Progression: Chronic condition requiring long-term management
Common Complications: Secondary infection
Clinical Management: ",359
Congenital Hepatic Syndrome 48,Autoimmune,Critical,"Disease: Congenital Hepatic Syndrome 48
Description: Congenital Hepatic Syndrome 48 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Environmental
Category: Autoimmune
Severity: Critical
Disease Progression: Potentially severe if untreated
Common Complications: Inflammation complications
Clinical Management: ",360
Inflammatory Hepatic Syndrome 49,Infectious,Low,"Disease: Inflammatory Hepatic Syndrome 49
Description: Inflammatory Hepatic Syndrome 49 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Viral
Category: Infectious
Severity: Low
Disease Progression: Acute onset may resolve with care
Common Complications: Metabolic imbalance
Clinical Management: ",346
Metabolic Hepatic Syndrome 50,Cardiovascular,Moderate,"Disease: Metabolic Hepatic Syndrome 50
Description: Metabolic Hepatic Syndrome 50 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Bacterial
Category: Cardiovascular
Severity: Moderate
Disease Progression: Progressive condition needing monitoring
Common Complications: Neurological complications
Clinical Management: ",367
Acute Endocrine Syndrome 51,Neurology,High,"Disease: Acute Endocrine Syndrome 51
Description: Acute Endocrine Syndrome 51 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Genetic
Category: Neurology
Severity: High
Disease Progression: Chronic condition requiring long-term management
Common Complications: Organ dysfunction
Clinical Management: ",351
Chronic Endocrine Syndrome 52,Endocrine,Critical,"Disease: Chronic Endocrine Syndrome 52
Description: Chronic Endocrine Syndrome 52 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Lifestyle
Category: Endocrine
Severity: Critical
Disease Progression: Potentially severe if untreated
Common Complications: Secondary infection
Clinical Management: ",346
Autoimmune Endocrine Syndrome 53,Respiratory,Low,"Disease: Autoimmune Endocrine Syndrome 53
Description: Autoimmune Endocrine Syndrome 53 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Autoimmune
Category: Respiratory
Severity: Low
Disease Progression: Acute onset may resolve with care
Common Complications: Inflammation complications
Clinical Management: ",359
Idiopathic Endocrine Syndrome 54,GI,Moderate,"Disease: Idiopathic Endocrine Syndrome 54
Description: Idiopathic Endocrine Syndrome 54 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Unknown
Category: GI
Severity: Moderate
Disease Progression: Progressive condition needing monitoring
Common Complications: Metabolic imbalance
Clinical Management: ",352
Primary Endocrine Syndrome 55,Renal,High,"Disease: Primary Endocrine Syndrome 55
Description: Primary Endocrine Syndrome 55 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Metabolic
Category: Renal
Severity: High
Disease Progression: Chronic condition requiring long-term management
Common Complications: Neurological complications
Clinical Management: ",362
Secondary Endocrine Syndrome 56,Autoimmune,Critical,"Disease: Secondary Endocrine Syndrome 56
Description: Secondary Endocrine Syndrome 56 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Environmental
Category: Autoimmune
Severity: Critical
Disease Progression: Potentially severe if untreated
Common Complications: Organ dysfunction
Clinical Management: ",353
Progressive Endocrine Syndrome 57,Infectious,Low,"Disease: Progressive Endocrine Syndrome 57
Description: Progressive Endocrine Syndrome 57 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Viral
Category: Infectious
Severity: Low
Disease Progression: Acute onset may resolve with care
Common Complications: Secondary infection
Clinical Management: ",348
Congenital Endocrine Syndrome 58,Cardiovascular,Moderate,"Disease: Congenital Endocrine Syndrome 58
Description: Congenital Endocrine Syndrome 58 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Bacterial
Category: Cardiovascular
Severity: Moderate
Disease Progression: Progressive condition needing monitoring
Common Complications: Inflammation complications
Clinical Management: ",373
Inflammatory Endocrine Syndrome 59,Neurology,High,"Disease: Inflammatory Endocrine Syndrome 59
Description: Inflammatory Endocrine Syndrome 59 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Genetic
Category: Neurology
Severity: High
Disease Progression: Chronic condition requiring long-term management
Common Complications: Metabolic imbalance
Clinical Management: ",367
Metabolic Endocrine Syndrome 60,Endocrine,Critical,"Disease: Metabolic Endocrine Syndrome 60
Description: Metabolic Endocrine Syndrome 60 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Lifestyle
Category: Endocrine
Severity: Critical
Disease Progression: Potentially severe if untreated
Common Complications: Neurological complications
Clinical Management: ",357
Acute Gastro Syndrome 61,Respiratory,Low,"Disease: Acute Gastro Syndrome 61
Description: Acute Gastro Syndrome 61 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Autoimmune
Category: Respiratory
Severity: Low
Disease Progression: Acute onset may resolve with care
Common Complications: Organ dysfunction
Clinical Management: ",334
Chronic Gastro Syndrome 62,GI,Moderate,"Disease: Chronic Gastro Syndrome 62
Description: Chronic Gastro Syndrome 62 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Unknown
Category: GI
Severity: Moderate
Disease Progression: Progressive condition needing monitoring
Common Complications: Secondary infection
Clinical Management: ",340
Autoimmune Gastro Syndrome 63,Renal,High,"Disease: Autoimmune Gastro Syndrome 63
Description: Autoimmune Gastro Syndrome 63 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Metabolic
Category: Renal
Severity: High
Disease Progression: Chronic condition requiring long-term management
Common Complications: Inflammation complications
Clinical Management: ",362
Idiopathic Gastro Syndrome 64,Autoimmune,Critical,"Disease: Idiopathic Gastro Syndrome 64
Description: Idiopathic Gastro Syndrome 64 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Environmental
Category: Autoimmune
Severity: Critical
Disease Progression: Potentially severe if untreated
Common Complications: Metabolic imbalance
Clinical Management: ",351
Primary Gastro Syndrome 65,Infectious,Low,"Disease: Primary Gastro Syndrome 65
Description: Primary Gastro Syndrome 65 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Viral
Category: Infectious
Severity: Low
Disease Progression: Acute onset may resolve with care
Common Complications: Neurological complications
Clinical Management: ",341
Secondary Gastro Syndrome 66,Cardiovascular,Moderate,"Disease: Secondary Gastro Syndrome 66
Description: Secondary Gastro Syndrome 66 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Bacterial
Category: Cardiovascular
Severity: Moderate
Disease Progression: Progressive condition needing monitoring
Common Complications: Organ dysfunction
Clinical Management: ",356
Progressive Gastro Syndrome 67,Neurology,High,"Disease: Progressive Gastro Syndrome 67
Description: Progressive Gastro Syndrome 67 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Genetic
Category: Neurology
Severity: High
Disease Progression: Chronic condition requiring long-term management
Common Complications: Secondary infection
Clinical Management: ",359
Congenital Gastro Syndrome 68,Endocrine,Critical,"Disease: Congenital Gastro Syndrome 68
Description: Congenital Gastro Syndrome 68 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Lifestyle
Category: Endocrine
Severity: Critical
Disease Progression: Potentially severe if untreated
Common Complications: Inflammation complications
Clinical Management: ",353
Inflammatory Gastro Syndrome 69,Respiratory,Low,"Disease: Inflammatory Gastro Syndrome 69
Description: Inflammatory Gastro Syndrome 69 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Autoimmune
Category: Respiratory
Severity: Low
Disease Progression: Acute onset may resolve with care
Common Complications: Metabolic imbalance
Clinical Management: ",350
Metabolic Gastro Syndrome 70,GI,Moderate,"Disease: Metabolic Gastro Syndrome 70
Description: Metabolic Gastro Syndrome 70 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Unknown
Category: GI
Severity: Moderate
Disease Progression: Progressive condition needing monitoring
Common Complications: Neurological complications
Clinical Management: ",351
Acute Dermatologic Syndrome 71,Renal,High,"Disease: Acute Dermatologic Syndrome 71
Description: Acute Dermatologic Syndrome 71 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Metabolic
Category: Renal
Severity: High
Disease Progression: Chronic condition requiring long-term management
Common Complications: Organ dysfunction
Clinical Management: ",355
Chronic Dermatologic Syndrome 72,Autoimmune,Critical,"Disease: Chronic Dermatologic Syndrome 72
Description: Chronic Dermatologic Syndrome 72 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Environmental
Category: Autoimmune
Severity: Critical
Disease Progression: Potentially severe if untreated
Common Complications: Secondary infection
Clinical Management: ",357
Autoimmune Dermatologic Syndrome 73,Infectious,Low,"Disease: Autoimmune Dermatologic Syndrome 73
Description: Autoimmune Dermatologic Syndrome 73 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Viral
Category: Infectious
Severity: Low
Disease Progression: Acute onset may resolve with care
Common Complications: Inflammation complications
Clinical Management: ",359
Idiopathic Dermatologic Syndrome 74,Cardiovascular,Moderate,"Disease: Idiopathic Dermatologic Syndrome 74
Description: Idiopathic Dermatologic Syndrome 74 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Bacterial
Category: Cardiovascular
Severity: Moderate
Disease Progression: Progressive condition needing monitoring
Common Complications: Metabolic imbalance
Clinical Management: ",372
Primary Dermatologic Syndrome 75,Neurology,High,"Disease: Primary Dermatologic Syndrome 75
Description: Primary Dermatologic Syndrome 75 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Genetic
Category: Neurology
Severity: High
Disease Progression: Chronic condition requiring long-term management
Common Complications: Neurological complications
Clinical Management: ",370
Secondary Dermatologic Syndrome 76,Endocrine,Critical,"Disease: Secondary Dermatologic Syndrome 76
Description: Secondary Dermatologic Syndrome 76 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Lifestyle
Category: Endocrine
Severity: Critical
Disease Progression: Potentially severe if untreated
Common Complications: Organ dysfunction
Clinical Management: ",354
Progressive Dermatologic Syndrome 77,Respiratory,Low,"Disease: Progressive Dermatologic Syndrome 77
Description: Progressive Dermatologic Syndrome 77 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Autoimmune
Category: Respiratory
Severity: Low
Disease Progression: Acute onset may resolve with care
Common Complications: Secondary infection
Clinical Management: ",360
Congenital Dermatologic Syndrome 78,GI,Moderate,"Disease: Congenital Dermatologic Syndrome 78
Description: Congenital Dermatologic Syndrome 78 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Unknown
Category: GI
Severity: Moderate
Disease Progression: Progressive condition needing monitoring
Common Complications: Inflammation complications
Clinical Management: ",365
Inflammatory Dermatologic Syndrome 79,Renal,High,"Disease: Inflammatory Dermatologic Syndrome 79
Description: Inflammatory Dermatologic Syndrome 79 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Metabolic
Category: Renal
Severity: High
Disease Progression: Chronic condition requiring long-term management
Common Complications: Metabolic imbalance
Clinical Management: ",371
Metabolic Dermatologic Syndrome 80,Autoimmune,Critical,"Disease: Metabolic Dermatologic Syndrome 80
Description: Metabolic Dermatologic Syndrome 80 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Environmental
Category: Autoimmune
Severity: Critical
Disease Progression: Potentially severe if untreated
Common Complications: Neurological complications
Clinical Management: ",368
Acute Hematologic Syndrome 81,Infectious,Low,"Disease: Acute Hematologic Syndrome 81
Description: Acute Hematologic Syndrome 81 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Viral
Category: Infectious
Severity: Low
Disease Progression: Acute onset may resolve with care
Common Complications: Organ dysfunction
Clinical Management: ",338
Chronic Hematologic Syndrome 82,Cardiovascular,Moderate,"Disease: Chronic Hematologic Syndrome 82
Description: Chronic Hematologic Syndrome 82 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Bacterial
Category: Cardiovascular
Severity: Moderate
Disease Progression: Progressive condition needing monitoring
Common Complications: Secondary infection
Clinical Management: ",364
Autoimmune Hematologic Syndrome 83,Neurology,High,"Disease: Autoimmune Hematologic Syndrome 83
Description: Autoimmune Hematologic Syndrome 83 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Genetic
Category: Neurology
Severity: High
Disease Progression: Chronic condition requiring long-term management
Common Complications: Inflammation complications
Clinical Management: ",374
Idiopathic Hematologic Syndrome 84,Endocrine,Critical,"Disease: Idiopathic Hematologic Syndrome 84
Description: Idiopathic Hematologic Syndrome 84 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Lifestyle
Category: Endocrine
Severity: Critical
Disease Progression: Potentially severe if untreated
Common Complications: Metabolic imbalance
Clinical Management: ",356
Primary Hematologic Syndrome 85,Respiratory,Low,"Disease: Primary Hematologic Syndrome 85
Description: Primary Hematologic Syndrome 85 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Autoimmune
Category: Respiratory
Severity: Low
Disease Progression: Acute onset may resolve with care
Common Complications: Neurological complications
Clinical Management: ",357
