symptom,follow_up_question,question_type,expected_values,priority,clinical_category,emergency_flag
Back Pain,Any Associated Symptoms Present?,0,5,3,2,1
Back Pain,Triggered By Activity?,9,5,1,4,0
Back Pain,Localized Or Widespread?,5,1,2,8,1
Back Pain,Constant Or Intermittent?,6,0,3,0,0
Back Pain,Does It Affect Daily Activities?,4,5,1,7,1
Back Pain,Any Emergency Warning Signs?,2,5,2,5,0
Joint Pain,Since How Many Days?,1,3,3,3,1
Joint Pain,"Mild, Moderate Or Severe?",8,2,1,6,0
Joint Pain,How Frequently Does It Occur?,3,4,2,1,1
Joint Pain,When Did It Start Worsening?,7,3,3,2,0
Joint Pain,Any Associated Symptoms Present?,0,5,1,4,1
Joint Pain,Triggered By Activity?,9,5,2,8,0
Joint Pain,Localized Or Widespread?,5,1,3,0,1
Joint Pain,Constant Or Intermittent?,6,0,1,7,0
Joint Pain,Does It Affect Daily Activities?,4,5,2,5,1
Joint Pain,Any Emergency Warning Signs?,2,5,3,3,0
Muscle Pain,Since How Many Days?,1,3,1,6,1
Muscle Pain,"Mild, Moderate Or Severe?",8,2,2,1,0
Muscle Pain,How Frequently Does It Occur?,3,4,3,2,1
Muscle Pain,When Did It Start Worsening?,7,3,1,4,0
Muscle Pain,Any Associated Symptoms Present?,0,5,2,8,1
Muscle Pain,Triggered By Activity?,9,5,3,0,0
Muscle Pain,Localized Or Widespread?,5,1,1,7,1
Muscle Pain,Constant Or Intermittent?,6,0,2,5,0
Muscle Pain,Does It Affect Daily Activities?,4,5,3,3,1
Muscle Pain,Any Emergency Warning Signs?,2,5,1,6,0
Palpitations,Since How Many Days?,1,3,2,1,1
Palpitations,"Mild, Moderate Or Severe?",8,2,3,2,0
Palpitations,How Frequently Does It Occur?,3,4,1,4,1
Palpitations,When Did It Start Worsening?,7,3,2,8,0
Palpitations,Any Associated Symptoms Present?,0,5,3,0,1
Palpitations,Triggered By Activity?,9,5,1,7,0
Palpitations,Localized Or Widespread?,5,1,2,5,1
Palpitations,Constant Or Intermittent?,6,0,3,3,0
Palpitations,Does It Affect Daily Activities?,4,5,1,6,1
Palpitations,Any Emergency Warning Signs?,2,5,2,1,0
Leg Swelling,Since How Many Days?,1,3,3,2,1
Leg Swelling,"Mild, Moderate Or Severe?",8,2,1,4,0
Leg Swelling,How Frequently Does It Occur?,3,4,2,8,1
Leg Swelling,When Did It Start Worsening?,7,3,3,0,0
Leg Swelling,Any Associated Symptoms Present?,0,5,1,7,1
Leg Swelling,Triggered By Activity?,9,5,2,5,0
Leg Swelling,Localized Or Widespread?,5,1,3,3,1
Leg Swelling,Constant Or Intermittent?,6,0,1,6,0
Leg Swelling,Does It Affect Daily Activities?,4,5,2,1,1
Leg Swelling,Any Emergency Warning Signs?,2,5,3,2,0
Syncope,Since How Many Days?,1,3,1,4,1
Syncope,"Mild, Moderate Or Severe?",8,2,2,8,0
Syncope,How Frequently Does It Occur?,3,4,3,0,1
Syncope,When Did It Start Worsening?,7,3,1,7,0
Syncope,Any Associated Symptoms Present?,0,5,2,5,1
Syncope,Triggered By Activity?,9,5,3,3,0
Syncope,Localized Or Widespread?,5,1,1,6,1
Syncope,Constant Or Intermittent?,6,0,2,1,0
Syncope,Does It Affect Daily Activities?,4,5,3,2,1
Syncope,Any Emergency Warning Signs?,2,5,1,4,0
Wheezing,Since How Many Days?,1,3,2,8,1
Wheezing,"Mild, Moderate Or Severe?",8,2,3,0,0
Wheezing,How Frequently Does It Occur?,3,4,1,7,1
Wheezing,When Did It Start Worsening?,7,3,2,5,0
Wheezing,Any Associated Symptoms Present?,0,5,3,3,1
Wheezing,Triggered By Activity?,9,5,1,6,0
Wheezing,Localized Or Widespread?,5,1,2,1,1
Wheezing,Constant Or Intermittent?,6,0,3,2,0
Wheezing,Does It Affect Daily Activities?,4,5,1,4,1
Wheezing,Any Emergency Warning Signs?,2,5,2,8,0
Sore Throat,Since How Many Days?,1,3,3,0,1
Sore Throat,"Mild, Moderate Or Severe?",8,2,1,7,0
Sore Throat,How Frequently Does It Occur?,3,4,2,5,1
Sore Throat,When Did It Start Worsening?,7,3,3,3,0
Sore Throat,Any Associated Symptoms Present?,0,5,1,6,1
Sore Throat,Triggered By Activity?,9,5,2,1,0
Sore Throat,Localized Or Widespread?,5,1,3,2,1
Sore Throat,Constant Or Intermittent?,6,0,1,4,0
Sore Throat,Does It Affect Daily Activities?,4,5,2,8,1
Sore Throat,Any Emergency Warning Signs?,2,5,3,0,0
Runny Nose,Since How Many Days?,1,3,1,7,1
Runny Nose,"Mild, Moderate Or Severe?",8,2,2,5,0
Runny Nose,How Frequently Does It Occur?,3,4,3,3,1
Runny Nose,When Did It Start Worsening?,7,3,1,6,0
Runny Nose,Any Associated Symptoms Present?,0,5,2,1,1
Runny Nose,Triggered By Activity?,9,5,3,2,0
Runny Nose,Localized Or Widespread?,5,1,1,4,1
Runny Nose,Constant Or Intermittent?,6,0,2,8,0
Runny Nose,Does It Affect Daily Activities?,4,5,3,0,1
Runny Nose,Any Emergency Warning Signs?,2,5,1,7,0
Nasal Congestion,Since How Many Days?,1,3,2,5,1
Nasal Congestion,"Mild, Moderate Or Severe?",8,2,3,3,0
Nasal Congestion,How Frequently Does It Occur?,3,4,1,6,1
Nasal Congestion,When Did It Start Worsening?,7,3,2,1,0
Nasal Congestion,Any Associated Symptoms Present?,0,5,3,2,1
Nasal Congestion,Triggered By Activity?,9,5,1,4,0
Nasal Congestion,Localized Or Widespread?,5,1,2,8,1
Nasal Congestion,Constant Or Intermittent?,6,0,3,0,0
Nasal Congestion,Does It Affect Daily Activities?,4,5,1,7,1
Nasal Congestion,Any Emergency Warning Signs?,2,5,2,5,0
Chills,Since How Many Days?,1,3,3,3,1
Chills,"Mild, Moderate Or Severe?",8,2,1,6,0
Chills,How Frequently Does It Occur?,3,4,2,1,1
Chills,When Did It Start Worsening?,7,3,3,2,0
Chills,Any Associated Symptoms Present?,0,5,1,4,1
Chills,Triggered By Activity?,9,5,2,8,0
Chills,Localized Or Widespread?,5,1,3,0,1
Chills,Constant Or Intermittent?,6,0,1,7,0
Chills,Does It Affect Daily Activities?,4,5,2,5,1
Chills,Any Emergency Warning Signs?,2,5,3,3,0
Night Sweats,Since How Many Days?,1,3,1,6,1
Night Sweats,"Mild, Moderate Or Severe?",8,2,2,1,0
Night Sweats,How Frequently Does It Occur?,3,4,3,2,1
Night Sweats,When Did It Start Worsening?,7,3,1,4,0
Night Sweats,Any Associated Symptoms Present?,0,5,2,8,1
Night Sweats,Triggered By Activity?,9,5,3,0,0
Night Sweats,Localized Or Widespread?,5,1,1,7,1
Night Sweats,Constant Or Intermittent?,6,0,2,5,0
Night Sweats,Does It Affect Daily Activities?,4,5,3,3,1
Night Sweats,Any Emergency Warning Signs?,2,5,1,6,0
Weight Loss,Since How Many Days?,1,3,2,1,1
Weight Loss,"Mild, Moderate Or Severe?",8,2,3,2,0
Weight Loss,How Frequently Does It Occur?,3,4,1,4,1
Weight Loss,When Did It Start Worsening?,7,3,2,8,0
Weight Loss,Any Associated Symptoms Present?,0,5,3,0,1
Weight Loss,Triggered By Activity?,9,5,1,7,0
Weight Loss,Localized Or Widespread?,5,1,2,5,1
Weight Loss,Constant Or Intermittent?,6,0,3,3,0
Weight Loss,Does It Affect Daily Activities?,4,5,1,6,1
Weight Loss,Any Emergency Warning Signs?,2,5,2,1,0
Loss Of Appetite,Since How Many Days?,1,3,3,2,1
Loss Of Appetite,"Mild, Moderate Or Severe?",8,2,1,4,0
Loss Of Appetite,How Frequently Does It Occur?,3,4,2,8,1
Loss Of Appetite,When Did It Start Worsening?,7,3,3,0,0
Loss Of Appetite,Any Associated Symptoms Present?,0,5,1,7,1
Loss Of Appetite,Triggered By Activity?,9,5,2,5,0
Loss Of Appetite,Localized Or Widespread?,5,1,3,3,1
Loss Of Appetite,Constant Or Intermittent?,6,0,1,6,0
Loss Of Appetite,Does It Affect Daily Activities?,4,5,2,1,1
Loss Of Appetite,Any Emergency Warning Signs?,2,5,3,2,0
Weakness,Since How Many Days?,1,3,1,4,1
Weakness,"Mild, Moderate Or Severe?",8,2,2,8,0
Weakness,How Frequently Does It Occur?,3,4,3,0,1
Weakness,When Did It Start Worsening?,7,3,1,7,0
Weakness,Any Associated Symptoms Present?,0,5,2,5,1
Weakness,Triggered By Activity?,9,5,3,3,0
Weakness,Localized Or Widespread?,5,1,1,6,1
Weakness,Constant Or Intermittent?,6,0,2,1,0
Weakness,Does It Affect Daily Activities?,4,5,3,2,1
Weakness,Any Emergency Warning Signs?,2,5,1,4,0
Confusion,Since How Many Days?,1,3,2,8,1
Confusion,"Mild, Moderate Or Severe?",8,2,3,0,0
Confusion,How Frequently Does It Occur?,3,4,1,7,1
Confusion,When Did It Start Worsening?,7,3,2,5,0
Confusion,Any Associated Symptoms Present?,0,5,3,3,1
Confusion,Triggered By Activity?,9,5,1,6,0
Confusion,Localized Or Widespread?,5,1,2,1,1
Confusion,Constant Or Intermittent?,6,0,3,2,0
Confusion,Does It Affect Daily Activities?,4,5,1,4,1
Confusion,Any Emergency Warning Signs?,2,5,2,8,0
Memory Loss,Since How Many Days?,1,3,3,0,1
Memory Loss,"Mild, Moderate Or Severe?",8,2,1,7,0
Memory Loss,How Frequently Does It Occur?,3,4,2,5,1
Memory Loss,When Did It Start Worsening?,7,3,3,3,0
Memory Loss,Any Associated Symptoms Present?,0,5,1,6,1
Memory Loss,Triggered By Activity?,9,5,2,1,0
Memory Loss,Localized Or Widespread?,5,1,3,2,1
Memory Loss,Constant Or Intermittent?,6,0,1,4,0
Memory Loss,Does It Affect Daily Activities?,4,5,2,8,1
Memory Loss,Any Emergency Warning Signs?,2,5,3,0,0
Seizure,Since How Many Days?,1,3,1,7,1
Seizure,"Mild, Moderate Or Severe?",8,2,2,5,0
Seizure,How Frequently Does It Occur?,3,4,3,3,1
Seizure,When Did It Start Worsening?,7,3,1,6,0
Seizure,Any Associated Symptoms Present?,0,5,2,1,1
Seizure,Triggered By Activity?,9,5,3,2,0
Seizure,Localized Or Widespread?,5,1,1,4,1
Seizure,Constant Or Intermittent?,6,0,2,8,0
Seizure,Does It Affect Daily Activities?,4,5,3,0,1
Seizure,Any Emergency Warning Signs?,2,5,1,7,0
Numbness,Since How Many Days?,1,3,2,5,1
Numbness,"Mild, Moderate Or Severe?",8,2,3,3,0
Numbness,How Frequently Does It Occur?,3,4,1,6,1
Numbness,When Did It Start Worsening?,7,3,2,1,0
Numbness,Any Associated Symptoms Present?,0,5,3,2,1
Numbness,Triggered By Activity?,9,5,1,4,0
Numbness,Localized Or Widespread?,5,1,2,8,1
Numbness,Constant Or Intermittent?,6,0,3,0,0
Numbness,Does It Affect Daily Activities?,4,5,1,7,1
Numbness,Any Emergency Warning Signs?,2,5,2,5,0
Tingling,Since How Many Days?,1,3,3,3,1
Tingling,"Mild, Moderate Or Severe?",8,2,1,6,0
Tingling,How Frequently Does It Occur?,3,4,2,1,1
Tingling,When Did It Start Worsening?,7,3,3,2,0
Tingling,Any Associated Symptoms Present?,0,5,1,4,1
Tingling,Triggered By Activity?,9,5,2,8,0
Tingling,Localized Or Widespread?,5,1,3,0,1
Tingling,Constant Or Intermittent?,6,0,1,7,0
Tingling,Does It Affect Daily Activities?,4,5,2,5,1
Tingling,Any Emergency Warning Signs?,2,5,3,3,0
Tremor,Since How Many Days?,1,3,1,6,1
Tremor,"Mild, Moderate Or Severe?",8,2,2,1,0
Tremor,How Frequently Does It Occur?,3,4,3,2,1
Tremor,When Did It Start Worsening?,7,3,1,4,0
Tremor,Any Associated Symptoms Present?,0,5,2,8,1
Tremor,Triggered By Activity?,9,5,3,0,0
Tremor,Localized Or Widespread?,5,1,1,7,1
Tremor,Constant Or Intermittent?,6,0,2,5,0
Tremor,Does It Affect Daily Activities?,4,5,3,3,1
Tremor,Any Emergency Warning Signs?,2,5,1,6,0
Facial Droop,Since How Many Days?,1,3,2,1,1
Facial Droop,"Mild, Moderate Or Severe?",8,2,3,2,0
Facial Droop,How Frequently Does It Occur?,3,4,1,4,1
Facial Droop,When Did It Start Worsening?,7,3,2,8,0
Facial Droop,Any Associated Symptoms Present?,0,5,3,0,1
Facial Droop,Triggered By Activity?,9,5,1,7,0
Facial Droop,Localized Or Widespread?,5,1,2,5,1
Facial Droop,Constant Or Intermittent?,6,0,3,3,0
Facial Droop,Does It Affect Daily Activities?,4,5,1,6,1
Facial Droop,Any Emergency Warning Signs?,2,5,2,1,0
Blurred Vision,Since How Many Days?,1,3,3,2,1
Blurred Vision,"Mild, Moderate Or Severe?",8,2,1,4,0
Blurred Vision,How Frequently Does It Occur?,3,4,2,8,1
Blurred Vision,When Did It Start Worsening?,7,3,3,0,0
Blurred Vision,Any Associated Symptoms Present?,0,5,1,7,1
Blurred Vision,Triggered By Activity?,9,5,2,5,0
Blurred Vision,Localized Or Widespread?,5,1,3,3,1
Blurred Vision,Constant Or Intermittent?,6,0,1,6,0
Blurred Vision,Does It Affect Daily Activities?,4,5,2,1,1
Blurred Vision,Any Emergency Warning Signs?,2,5,3,2,0
Frequent Urination,Since How Many Days?,1,3,1,4,1
Frequent Urination,"Mild, Moderate Or Severe?",8,2,2,8,0
Frequent Urination,How Frequently Does It Occur?,3,4,3,0,1
Frequent Urination,When Did It Start Worsening?,7,3,1,7,0
Frequent Urination,Any Associated Symptoms Present?,0,5,2,5,1
Frequent Urination,Triggered By Activity?,9,5,3,3,0
Frequent Urination,Localized Or Widespread?,5,1,1,6,1
Frequent Urination,Constant Or Intermittent?,6,0,2,1,0
Frequent Urination,Does It Affect Daily Activities?,4,5,3,2,1
Frequent Urination,Any Emergency Warning Signs?,2,5,1,4,0
Excess Thirst,Since How Many Days?,1,3,2,8,1
Excess Thirst,"Mild, Moderate Or Severe?",8,2,3,0,0
Excess Thirst,How Frequently Does It Occur?,3,4,1,7,1
Excess Thirst,When Did It Start Worsening?,7,3,2,5,0
Excess Thirst,Any Associated Symptoms Present?,0,5,3,3,1
Excess Thirst,Triggered By Activity?,9,5,1,6,0
Excess Thirst,Localized Or Widespread?,5,1,2,1,1
Excess Thirst,Constant Or Intermittent?,6,0,3,2,0
Excess Thirst,Does It Affect Daily Activities?,4,5,1,4,1
Excess Thirst,Any Emergency Warning Signs?,2,5,2,8,0
Heat Intolerance,Since How Many Days?,1,3,3,0,1
Heat Intolerance,"Mild, Moderate Or Severe?",8,2,1,7,0
Heat Intolerance,How Frequently Does It Occur?,3,4,2,5,1
Heat Intolerance,When Did It Start Worsening?,7,3,3,3,0
Heat Intolerance,Any Associated Symptoms Present?,0,5,1,6,1
Heat Intolerance,Triggered By Activity?,9,5,2,1,0
Heat Intolerance,Localized Or Widespread?,5,1,3,2,1
Heat Intolerance,Constant Or Intermittent?,6,0,1,4,0
Heat Intolerance,Does It Affect Daily Activities?,4,5,2,8,1
Heat Intolerance,Any Emergency Warning Signs?,2,5,3,0,0
Cold Intolerance,Since How Many Days?,1,3,1,7,1
Cold Intolerance,"Mild, Moderate Or Severe?",8,2,2,5,0
Cold Intolerance,How Frequently Does It Occur?,3,4,3,3,1
Cold Intolerance,When Did It Start Worsening?,7,3,1,6,0
Cold Intolerance,Any Associated Symptoms Present?,0,5,2,1,1
Cold Intolerance,Triggered By Activity?,9,5,3,2,0
Cold Intolerance,Localized Or Widespread?,5,1,1,4,1
Cold Intolerance,Constant Or Intermittent?,6,0,2,8,0
Cold Intolerance,Does It Affect Daily Activities?,4,5,3,0,1
Cold Intolerance,Any Emergency Warning Signs?,2,5,1,7,0
Rash,Since How Many Days?,1,3,2,5,1
Rash,"Mild, Moderate Or Severe?",8,2,3,3,0
Rash,How Frequently Does It Occur?,3,4,1,6,1
Rash,When Did It Start Worsening?,7,3,2,1,0
Rash,Any Associated Symptoms Present?,0,5,3,2,1
Rash,Triggered By Activity?,9,5,1,4,0
Rash,Localized Or Widespread?,5,1,2,8,1
Rash,Constant Or Intermittent?,6,0,3,0,0
Rash,Does It Affect Daily Activities?,4,5,1,7,1
Rash,Any Emergency Warning Signs?,2,5,2,5,0
Itching,Since How Many Days?,1,3,3,3,1
Itching,"Mild, Moderate Or Severe?",8,2,1,6,0
Itching,How Frequently Does It Occur?,3,4,2,1,1
Itching,When Did It Start Worsening?,7,3,3,2,0
Itching,Any Associated Symptoms Present?,0,5,1,4,1
Itching,Triggered By Activity?,9,5,2,8,0
Itching,Localized Or Widespread?,5,1,3,0,1
Itching,Constant Or Intermittent?,6,0,1,7,0
Itching,Does It Affect Daily Activities?,4,5,2,5,1
Itching,Any Emergency Warning Signs?,2,5,3,3,0
Skin Lesions,Since How Many Days?,1,3,1,6,1
Skin Lesions,"Mild, Moderate Or Severe?",8,2,2,1,0
Skin Lesions,How Frequently Does It Occur?,3,4,3,2,1
Skin Lesions,When Did It Start Worsening?,7,3,1,4,0
Skin Lesions,Any Associated Symptoms Present?,0,5,2,8,1
Skin Lesions,Triggered By Activity?,9,5,3,0,0
Skin Lesions,Localized Or Widespread?,5,1,1,7,1
Skin Lesions,Constant Or Intermittent?,6,0,2,5,0
Skin Lesions,Does It Affect Daily Activities?,4,5,3,3,1
Skin Lesions,Any Emergency Warning Signs?,2,5,1,6,0
Hair Loss,Since How Many Days?,1,3,2,1,1
Hair Loss,"Mild, Moderate Or Severe?",8,2,3,2,0
Hair Loss,How Frequently Does It Occur?,3,4,1,4,1
Hair Loss,When Did It Start Worsening?,7,3,2,8,0
Hair Loss,Any Associated Symptoms Present?,0,5,3,0,1
Hair Loss,Triggered By Activity?,9,5,1,7,0
Hair Loss,Localized Or Widespread?,5,1,2,5,1
Hair Loss,Constant Or Intermittent?,6,0,3,3,0
Hair Loss,Does It Affect Daily Activities?,4,5,1,6,1
Hair Loss,Any Emergency Warning Signs?,2,5,2,1,0
Insomnia,Since How Many Days?,1,3,3,2,1
Insomnia,"Mild, Moderate Or Severe?",8,2,1,4,0
Insomnia,How Frequently Does It Occur?,3,4,2,8,1
Insomnia,When Did It Start Worsening?,7,3,3,0,0
Insomnia,Any Associated Symptoms Present?,0,5,1,7,1
Insomnia,Triggered By Activity?,9,5,2,5,0
Insomnia,Localized Or Widespread?,5,1,3,3,1
Insomnia,Constant Or Intermittent?,6,0,1,6,0
Insomnia,Does It Affect Daily Activities?,4,5,2,1,1
Insomnia,Any Emergency Warning Signs?,2,5,3,2,0
Anxiety,Since How Many Days?,1,3,1,4,1
Anxiety,"Mild, Moderate Or Severe?",8,2,2,8,0
Anxiety,How Frequently Does It Occur?,3,4,3,0,1
Anxiety,When Did It Start Worsening?,7,3,1,7,0
Anxiety,Any Associated Symptoms Present?,0,5,2,5,1
Anxiety,Triggered By Activity?,9,5,3,3,0
Anxiety,Localized Or Widespread?,5,1,1,6,1
Anxiety,Constant Or Intermittent?,6,0,2,1,0
Anxiety,Does It Affect Daily Activities?,4,5,3,2,1
Anxiety,Any Emergency Warning Signs?,2,5,1,4,0
Depressed Mood,Since How Many Days?,1,3,2,8,1
Depressed Mood,"Mild, Moderate Or Severe?",8,2,3,0,0
Depressed Mood,How Frequently Does It Occur?,3,4,1,7,1
Depressed Mood,When Did It Start Worsening?,7,3,2,5,0
Depressed Mood,Any Associated Symptoms Present?,0,5,3,3,1
Depressed Mood,Triggered By Activity?,9,5,1,6,0
Depressed Mood,Localized Or Widespread?,5,1,2,1,1
Depressed Mood,Constant Or Intermittent?,6,0,3,2,0
Depressed Mood,Does It Affect Daily Activities?,4,5,1,4,1
Depressed Mood,Any Emergency Warning Signs?,2,5,2,8,0
Irritability,Since How Many Days?,1,3,3,0,1
Irritability,"Mild, Moderate Or Severe?",8,2,1,7,0
Irritability,How Frequently Does It Occur?,3,4,2,5,1
Irritability,When Did It Start Worsening?,7,3,3,3,0
Irritability,Any Associated Symptoms Present?,0,5,1,6,1
Irritability,Triggered By Activity?,9,5,2,1,0
Irritability,Localized Or Widespread?,5,1,3,2,1
Irritability,Constant Or Intermittent?,6,0,1,4,0
Irritability,Does It Affect Daily Activities?,4,5,2,8,1
Irritability,Any Emergency Warning Signs?,2,5,3,0,0
Ear Pain,Since How Many Days?,1,3,1,7,1
Ear Pain,"Mild, Moderate Or Severe?",8,2,2,5,0
Ear Pain,How Frequently Does It Occur?,3,4,3,3,1
Ear Pain,When Did It Start Worsening?,7,3,1,6,0
Ear Pain,Any Associated Symptoms Present?,0,5,2,1,1
Ear Pain,Triggered By Activity?,9,5,3,2,0
Ear Pain,Localized Or Widespread?,5,1,1,4,1
Ear Pain,Constant Or Intermittent?,6,0,2,8,0
Ear Pain,Does It Affect Daily Activities?,4,5,3,0,1
Ear Pain,Any Emergency Warning Signs?,2,5,1,7,0
Hearing Loss,Since How Many Days?,1,3,2,5,1
