Symptom,Duration,Interpretation,Recommended_Action,Temporal_Pattern,Severity_Flag
Fever,<1 day,Likely Viral,Consider physician evaluation,Persistent warning sign,Low
Fever,<1 day,Likely Viral,Consider physician evaluation,Persistent warning sign,Moderate
Fever,<1 day,Likely Viral,Consider physician evaluation,Persistent warning sign,High
Fever,<1 day,Likely Viral,Consider physician evaluation,Possible chronic evolution,Low
Fever,<1 day,Likely Viral,Consider physician evaluation,Possible chronic evolution,Moderate
Fever,<1 day,Likely Viral,Consider physician evaluation,Possible chronic evolution,High
Fever,<1 day,Likely Viral,Consider physician evaluation,Acute onset requiring review,Low
Fever,<1 day,Likely Viral,Consider physician evaluation,Acute onset requiring review,Moderate
Fever,<1 day,Likely Viral,Consider physician evaluation,Acute onset requiring review,High
Fever,<1 day,Likely Viral,Escalate if symptoms worsen,Early stage pattern,Low
Fever,<1 day,Likely Viral,Escalate if symptoms worsen,Early stage pattern,Moderate
Fever,<1 day,Likely Viral,Escalate if symptoms worsen,Early stage pattern,High
Fever,<1 day,Likely Viral,Escalate if symptoms worsen,Subacute progression,Low
Fever,<1 day,Likely Viral,Escalate if symptoms worsen,Subacute progression,Moderate
Fever,<1 day,Likely Viral,Escalate if symptoms worsen,Subacute progression,High
Fever,<1 day,Likely Viral,Escalate if symptoms worsen,Persistent warning sign,Low
Fever,<1 day,Likely Viral,Escalate if symptoms worsen,Persistent warning sign,Moderate
Fever,<1 day,Likely Viral,Escalate if symptoms worsen,Persistent warning sign,High
Fever,<1 day,Likely Viral,Escalate if symptoms worsen,Possible chronic evolution,Low
Fever,<1 day,Likely Viral,Escalate if symptoms worsen,Possible chronic evolution,Moderate
Fever,<1 day,Likely Viral,Escalate if symptoms worsen,Possible chronic evolution,High
Fever,<1 day,Likely Viral,Escalate if symptoms worsen,Acute onset requiring review,Low
Fever,<1 day,Likely Viral,Escalate if symptoms worsen,Acute onset requiring review,Moderate
Fever,<1 day,Likely Viral,Escalate if symptoms worsen,Acute onset requiring review,High
Fever,<1 day,Monitor Progression,Home monitoring,Early stage pattern,Low
Fever,<1 day,Monitor Progression,Home monitoring,Early stage pattern,Moderate
Fever,<1 day,Monitor Progression,Home monitoring,Early stage pattern,High
Fever,<1 day,Monitor Progression,Home monitoring,Subacute progression,Low
Fever,<1 day,Monitor Progression,Home monitoring,Subacute progression,Moderate
Fever,<1 day,Monitor Progression,Home monitoring,Subacute progression,High
Fever,<1 day,Monitor Progression,Home monitoring,Persistent warning sign,Low
Fever,<1 day,Monitor Progression,Home monitoring,Persistent warning sign,Moderate
Fever,<1 day,Monitor Progression,Home monitoring,Persistent warning sign,High
Fever,<1 day,Monitor Progression,Home monitoring,Possible chronic evolution,Low
Fever,<1 day,Monitor Progression,Home monitoring,Possible chronic evolution,Moderate
Fever,<1 day,Monitor Progression,Home monitoring,Possible chronic evolution,High
Fever,<1 day,Monitor Progression,Home monitoring,Acute onset requiring review,Low
Fever,<1 day,Monitor Progression,Home monitoring,Acute onset requiring review,Moderate
Fever,<1 day,Monitor Progression,Home monitoring,Acute onset requiring review,High
Fever,<1 day,Monitor Progression,Repeat assessment in 24 hrs,Early stage pattern,Low
Fever,<1 day,Monitor Progression,Repeat assessment in 24 hrs,Early stage pattern,Moderate
Fever,<1 day,Monitor Progression,Repeat assessment in 24 hrs,Early stage pattern,High
Fever,<1 day,Monitor Progression,Repeat assessment in 24 hrs,Subacute progression,Low
Fever,<1 day,Monitor Progression,Repeat assessment in 24 hrs,Subacute progression,Moderate
Fever,<1 day,Monitor Progression,Repeat assessment in 24 hrs,Subacute progression,High
Fever,<1 day,Monitor Progression,Repeat assessment in 24 hrs,Persistent warning sign,Low
Fever,<1 day,Monitor Progression,Repeat assessment in 24 hrs,Persistent warning sign,Moderate
Fever,<1 day,Monitor Progression,Repeat assessment in 24 hrs,Persistent warning sign,High
Fever,<1 day,Monitor Progression,Repeat assessment in 24 hrs,Possible chronic evolution,Low
Fever,<1 day,Monitor Progression,Repeat assessment in 24 hrs,Possible chronic evolution,Moderate
Fever,<1 day,Monitor Progression,Repeat assessment in 24 hrs,Possible chronic evolution,High
Fever,<1 day,Monitor Progression,Repeat assessment in 24 hrs,Acute onset requiring review,Low
Fever,<1 day,Monitor Progression,Repeat assessment in 24 hrs,Acute onset requiring review,Moderate
Fever,<1 day,Monitor Progression,Repeat assessment in 24 hrs,Acute onset requiring review,High
Fever,<1 day,Monitor Progression,Basic lab screening suggested,Early stage pattern,Low
Fever,<1 day,Monitor Progression,Basic lab screening suggested,Early stage pattern,Moderate
Fever,<1 day,Monitor Progression,Basic lab screening suggested,Early stage pattern,High
Fever,<1 day,Monitor Progression,Basic lab screening suggested,Subacute progression,Low
Fever,<1 day,Monitor Progression,Basic lab screening suggested,Subacute progression,Moderate
Fever,<1 day,Monitor Progression,Basic lab screening suggested,Subacute progression,High
Fever,<1 day,Monitor Progression,Basic lab screening suggested,Persistent warning sign,Low
Fever,<1 day,Monitor Progression,Basic lab screening suggested,Persistent warning sign,Moderate
Fever,<1 day,Monitor Progression,Basic lab screening suggested,Persistent warning sign,High
Fever,<1 day,Monitor Progression,Basic lab screening suggested,Possible chronic evolution,Low
Fever,<1 day,Monitor Progression,Basic lab screening suggested,Possible chronic evolution,Moderate
Fever,<1 day,Monitor Progression,Basic lab screening suggested,Possible chronic evolution,High
Fever,<1 day,Monitor Progression,Basic lab screening suggested,Acute onset requiring review,Low
Fever,<1 day,Monitor Progression,Basic lab screening suggested,Acute onset requiring review,Moderate
Fever,<1 day,Monitor Progression,Basic lab screening suggested,Acute onset requiring review,High
Fever,<1 day,Monitor Progression,Consider physician evaluation,Early stage pattern,Low
Fever,<1 day,Monitor Progression,Consider physician evaluation,Early stage pattern,Moderate
Fever,<1 day,Monitor Progression,Consider physician evaluation,Early stage pattern,High
Fever,<1 day,Monitor Progression,Consider physician evaluation,Subacute progression,Low
Fever,<1 day,Monitor Progression,Consider physician evaluation,Subacute progression,Moderate
Fever,<1 day,Monitor Progression,Consider physician evaluation,Subacute progression,High
Fever,<1 day,Monitor Progression,Consider physician evaluation,Persistent warning sign,Low
Fever,<1 day,Monitor Progression,Consider physician evaluation,Persistent warning sign,Moderate
Fever,<1 day,Monitor Progression,Consider physician evaluation,Persistent warning sign,High
Fever,<1 day,Monitor Progression,Consider physician evaluation,Possible chronic evolution,Low
Fever,<1 day,Monitor Progression,Consider physician evaluation,Possible chronic evolution,Moderate
Fever,<1 day,Monitor Progression,Consider physician evaluation,Possible chronic evolution,High
Fever,<1 day,Monitor Progression,Consider physician evaluation,Acute onset requiring review,Low
Fever,<1 day,Monitor Progression,Consider physician evaluation,Acute onset requiring review,Moderate
Fever,<1 day,Monitor Progression,Consider physician evaluation,Acute onset requiring review,High
Fever,<1 day,Monitor Progression,Escalate if symptoms worsen,Early stage pattern,Low
Fever,<1 day,Monitor Progression,Escalate if symptoms worsen,Early stage pattern,Moderate
Fever,<1 day,Monitor Progression,Escalate if symptoms worsen,Early stage pattern,High
Fever,<1 day,Monitor Progression,Escalate if symptoms worsen,Subacute progression,Low
Fever,<1 day,Monitor Progression,Escalate if symptoms worsen,Subacute progression,Moderate
Fever,<1 day,Monitor Progression,Escalate if symptoms worsen,Subacute progression,High
Fever,<1 day,Monitor Progression,Escalate if symptoms worsen,Persistent warning sign,Low
Fever,<1 day,Monitor Progression,Escalate if symptoms worsen,Persistent warning sign,Moderate
Fever,<1 day,Monitor Progression,Escalate if symptoms worsen,Persistent warning sign,High
Fever,<1 day,Monitor Progression,Escalate if symptoms worsen,Possible chronic evolution,Low
Fever,<1 day,Monitor Progression,Escalate if symptoms worsen,Possible chronic evolution,Moderate
Fever,<1 day,Monitor Progression,Escalate if symptoms worsen,Possible chronic evolution,High
Fever,<1 day,Monitor Progression,Escalate if symptoms worsen,Acute onset requiring review,Low
Fever,<1 day,Monitor Progression,Escalate if symptoms worsen,Acute onset requiring review,Moderate
Fever,<1 day,Monitor Progression,Escalate if symptoms worsen,Acute onset requiring review,High
Fever,<1 day,Possible Bacterial Cause,Home monitoring,Early stage pattern,Low
Fever,<1 day,Possible Bacterial Cause,Home monitoring,Early stage pattern,Moderate
Fever,<1 day,Possible Bacterial Cause,Home monitoring,Early stage pattern,High
Fever,<1 day,Possible Bacterial Cause,Home monitoring,Subacute progression,Low
Fever,<1 day,Possible Bacterial Cause,Home monitoring,Subacute progression,Moderate
Fever,<1 day,Possible Bacterial Cause,Home monitoring,Subacute progression,High
Fever,<1 day,Possible Bacterial Cause,Home monitoring,Persistent warning sign,Low
Fever,<1 day,Possible Bacterial Cause,Home monitoring,Persistent warning sign,Moderate
Fever,<1 day,Possible Bacterial Cause,Home monitoring,Persistent warning sign,High
Fever,<1 day,Possible Bacterial Cause,Home monitoring,Possible chronic evolution,Low
Fever,<1 day,Possible Bacterial Cause,Home monitoring,Possible chronic evolution,Moderate
Fever,<1 day,Possible Bacterial Cause,Home monitoring,Possible chronic evolution,High
Fever,<1 day,Possible Bacterial Cause,Home monitoring,Acute onset requiring review,Low
Fever,<1 day,Possible Bacterial Cause,Home monitoring,Acute onset requiring review,Moderate
Fever,<1 day,Possible Bacterial Cause,Home monitoring,Acute onset requiring review,High
Fever,<1 day,Possible Bacterial Cause,Repeat assessment in 24 hrs,Early stage pattern,Low
Fever,<1 day,Possible Bacterial Cause,Repeat assessment in 24 hrs,Early stage pattern,Moderate
Fever,<1 day,Possible Bacterial Cause,Repeat assessment in 24 hrs,Early stage pattern,High
Fever,<1 day,Possible Bacterial Cause,Repeat assessment in 24 hrs,Subacute progression,Low
Fever,<1 day,Possible Bacterial Cause,Repeat assessment in 24 hrs,Subacute progression,Moderate
Fever,<1 day,Possible Bacterial Cause,Repeat assessment in 24 hrs,Subacute progression,High
Fever,<1 day,Possible Bacterial Cause,Repeat assessment in 24 hrs,Persistent warning sign,Low
Fever,<1 day,Possible Bacterial Cause,Repeat assessment in 24 hrs,Persistent warning sign,Moderate
Fever,<1 day,Possible Bacterial Cause,Repeat assessment in 24 hrs,Persistent warning sign,High
Fever,<1 day,Possible Bacterial Cause,Repeat assessment in 24 hrs,Possible chronic evolution,Low
Fever,<1 day,Possible Bacterial Cause,Repeat assessment in 24 hrs,Possible chronic evolution,Moderate
Fever,<1 day,Possible Bacterial Cause,Repeat assessment in 24 hrs,Possible chronic evolution,High
Fever,<1 day,Possible Bacterial Cause,Repeat assessment in 24 hrs,Acute onset requiring review,Low
Fever,<1 day,Possible Bacterial Cause,Repeat assessment in 24 hrs,Acute onset requiring review,Moderate
Fever,<1 day,Possible Bacterial Cause,Repeat assessment in 24 hrs,Acute onset requiring review,High
Fever,<1 day,Possible Bacterial Cause,Basic lab screening suggested,Early stage pattern,Low
Fever,<1 day,Possible Bacterial Cause,Basic lab screening suggested,Early stage pattern,Moderate
Fever,<1 day,Possible Bacterial Cause,Basic lab screening suggested,Early stage pattern,High
Fever,<1 day,Possible Bacterial Cause,Basic lab screening suggested,Subacute progression,Low
Fever,<1 day,Possible Bacterial Cause,Basic lab screening suggested,Subacute progression,Moderate
Fever,<1 day,Possible Bacterial Cause,Basic lab screening suggested,Subacute progression,High
Fever,<1 day,Possible Bacterial Cause,Basic lab screening suggested,Persistent warning sign,Low
Fever,<1 day,Possible Bacterial Cause,Basic lab screening suggested,Persistent warning sign,Moderate
Fever,<1 day,Possible Bacterial Cause,Basic lab screening suggested,Persistent warning sign,High
Fever,<1 day,Possible Bacterial Cause,Basic lab screening suggested,Possible chronic evolution,Low
Fever,<1 day,Possible Bacterial Cause,Basic lab screening suggested,Possible chronic evolution,Moderate
Fever,<1 day,Possible Bacterial Cause,Basic lab screening suggested,Possible chronic evolution,High
Fever,<1 day,Possible Bacterial Cause,Basic lab screening suggested,Acute onset requiring review,Low
Fever,<1 day,Possible Bacterial Cause,Basic lab screening suggested,Acute onset requiring review,Moderate
Fever,<1 day,Possible Bacterial Cause,Basic lab screening suggested,Acute onset requiring review,High
Fever,<1 day,Possible Bacterial Cause,Consider physician evaluation,Early stage pattern,Low
Fever,<1 day,Possible Bacterial Cause,Consider physician evaluation,Early stage pattern,Moderate
Fever,<1 day,Possible Bacterial Cause,Consider physician evaluation,Early stage pattern,High
Fever,<1 day,Possible Bacterial Cause,Consider physician evaluation,Subacute progression,Low
Fever,<1 day,Possible Bacterial Cause,Consider physician evaluation,Subacute progression,Moderate
Fever,<1 day,Possible Bacterial Cause,Consider physician evaluation,Subacute progression,High
Fever,<1 day,Possible Bacterial Cause,Consider physician evaluation,Persistent warning sign,Low
Fever,<1 day,Possible Bacterial Cause,Consider physician evaluation,Persistent warning sign,Moderate
Fever,<1 day,Possible Bacterial Cause,Consider physician evaluation,Persistent warning sign,High
Fever,<1 day,Possible Bacterial Cause,Consider physician evaluation,Possible chronic evolution,Low
Fever,<1 day,Possible Bacterial Cause,Consider physician evaluation,Possible chronic evolution,Moderate
Fever,<1 day,Possible Bacterial Cause,Consider physician evaluation,Possible chronic evolution,High
Fever,<1 day,Possible Bacterial Cause,Consider physician evaluation,Acute onset requiring review,Low
Fever,<1 day,Possible Bacterial Cause,Consider physician evaluation,Acute onset requiring review,Moderate
Fever,<1 day,Possible Bacterial Cause,Consider physician evaluation,Acute onset requiring review,High
Fever,<1 day,Possible Bacterial Cause,Escalate if symptoms worsen,Early stage pattern,Low
Fever,<1 day,Possible Bacterial Cause,Escalate if symptoms worsen,Early stage pattern,Moderate
Fever,<1 day,Possible Bacterial Cause,Escalate if symptoms worsen,Early stage pattern,High
Fever,<1 day,Possible Bacterial Cause,Escalate if symptoms worsen,Subacute progression,Low
Fever,<1 day,Possible Bacterial Cause,Escalate if symptoms worsen,Subacute progression,Moderate
Fever,<1 day,Possible Bacterial Cause,Escalate if symptoms worsen,Subacute progression,High
Fever,<1 day,Possible Bacterial Cause,Escalate if symptoms worsen,Persistent warning sign,Low
Fever,<1 day,Possible Bacterial Cause,Escalate if symptoms worsen,Persistent warning sign,Moderate
Fever,<1 day,Possible Bacterial Cause,Escalate if symptoms worsen,Persistent warning sign,High
Fever,<1 day,Possible Bacterial Cause,Escalate if symptoms worsen,Possible chronic evolution,Low
Fever,<1 day,Possible Bacterial Cause,Escalate if symptoms worsen,Possible chronic evolution,Moderate
Fever,<1 day,Possible Bacterial Cause,Escalate if symptoms worsen,Possible chronic evolution,High
Fever,<1 day,Possible Bacterial Cause,Escalate if symptoms worsen,Acute onset requiring review,Low
Fever,<1 day,Possible Bacterial Cause,Escalate if symptoms worsen,Acute onset requiring review,Moderate
Fever,<1 day,Possible Bacterial Cause,Escalate if symptoms worsen,Acute onset requiring review,High
Fever,<1 day,Requires Further Evaluation,Home monitoring,Early stage pattern,Low
Fever,<1 day,Requires Further Evaluation,Home monitoring,Early stage pattern,Moderate
Fever,<1 day,Requires Further Evaluation,Home monitoring,Early stage pattern,High
Fever,<1 day,Requires Further Evaluation,Home monitoring,Subacute progression,Low
Fever,<1 day,Requires Further Evaluation,Home monitoring,Subacute progression,Moderate
Fever,<1 day,Requires Further Evaluation,Home monitoring,Subacute progression,High
Fever,<1 day,Requires Further Evaluation,Home monitoring,Persistent warning sign,Low
Fever,<1 day,Requires Further Evaluation,Home monitoring,Persistent warning sign,Moderate
Fever,<1 day,Requires Further Evaluation,Home monitoring,Persistent warning sign,High
Fever,<1 day,Requires Further Evaluation,Home monitoring,Possible chronic evolution,Low
Fever,<1 day,Requires Further Evaluation,Home monitoring,Possible chronic evolution,Moderate
Fever,<1 day,Requires Further Evaluation,Home monitoring,Possible chronic evolution,High
Fever,<1 day,Requires Further Evaluation,Home monitoring,Acute onset requiring review,Low
Fever,<1 day,Requires Further Evaluation,Home monitoring,Acute onset requiring review,Moderate
Fever,<1 day,Requires Further Evaluation,Home monitoring,Acute onset requiring review,High
Fever,<1 day,Requires Further Evaluation,Repeat assessment in 24 hrs,Early stage pattern,Low
Fever,<1 day,Requires Further Evaluation,Repeat assessment in 24 hrs,Early stage pattern,Moderate
Fever,<1 day,Requires Further Evaluation,Repeat assessment in 24 hrs,Early stage pattern,High
Fever,<1 day,Requires Further Evaluation,Repeat assessment in 24 hrs,Subacute progression,Low
Fever,<1 day,Requires Further Evaluation,Repeat assessment in 24 hrs,Subacute progression,Moderate
Fever,<1 day,Requires Further Evaluation,Repeat assessment in 24 hrs,Subacute progression,High
Fever,<1 day,Requires Further Evaluation,Repeat assessment in 24 hrs,Persistent warning sign,Low
Fever,<1 day,Requires Further Evaluation,Repeat assessment in 24 hrs,Persistent warning sign,Moderate
Fever,<1 day,Requires Further Evaluation,Repeat assessment in 24 hrs,Persistent warning sign,High
Fever,<1 day,Requires Further Evaluation,Repeat assessment in 24 hrs,Possible chronic evolution,Low
Fever,<1 day,Requires Further Evaluation,Repeat assessment in 24 hrs,Possible chronic evolution,Moderate
Fever,<1 day,Requires Further Evaluation,Repeat assessment in 24 hrs,Possible chronic evolution,High
Fever,<1 day,Requires Further Evaluation,Repeat assessment in 24 hrs,Acute onset requiring review,Low
Fever,<1 day,Requires Further Evaluation,Repeat assessment in 24 hrs,Acute onset requiring review,Moderate
Fever,<1 day,Requires Further Evaluation,Repeat assessment in 24 hrs,Acute onset requiring review,High
Fever,<1 day,Requires Further Evaluation,Basic lab screening suggested,Early stage pattern,Low
Fever,<1 day,Requires Further Evaluation,Basic lab screening suggested,Early stage pattern,Moderate
Fever,<1 day,Requires Further Evaluation,Basic lab screening suggested,Early stage pattern,High
Fever,<1 day,Requires Further Evaluation,Basic lab screening suggested,Subacute progression,Low
Fever,<1 day,Requires Further Evaluation,Basic lab screening suggested,Subacute progression,Moderate
Fever,<1 day,Requires Further Evaluation,Basic lab screening suggested,Subacute progression,High
Fever,<1 day,Requires Further Evaluation,Basic lab screening suggested,Persistent warning sign,Low
Fever,<1 day,Requires Further Evaluation,Basic lab screening suggested,Persistent warning sign,Moderate
Fever,<1 day,Requires Further Evaluation,Basic lab screening suggested,Persistent warning sign,High
Fever,<1 day,Requires Further Evaluation,Basic lab screening suggested,Possible chronic evolution,Low
Fever,<1 day,Requires Further Evaluation,Basic lab screening suggested,Possible chronic evolution,Moderate
Fever,<1 day,Requires Further Evaluation,Basic lab screening suggested,Possible chronic evolution,High
Fever,<1 day,Requires Further Evaluation,Basic lab screening suggested,Acute onset requiring review,Low
Fever,<1 day,Requires Further Evaluation,Basic lab screening suggested,Acute onset requiring review,Moderate
Fever,<1 day,Requires Further Evaluation,Basic lab screening suggested,Acute onset requiring review,High
Fever,<1 day,Requires Further Evaluation,Consider physician evaluation,Early stage pattern,Low
Fever,<1 day,Requires Further Evaluation,Consider physician evaluation,Early stage pattern,Moderate
Fever,<1 day,Requires Further Evaluation,Consider physician evaluation,Early stage pattern,High
Fever,<1 day,Requires Further Evaluation,Consider physician evaluation,Subacute progression,Low
Fever,<1 day,Requires Further Evaluation,Consider physician evaluation,Subacute progression,Moderate
Fever,<1 day,Requires Further Evaluation,Consider physician evaluation,Subacute progression,High
Fever,<1 day,Requires Further Evaluation,Consider physician evaluation,Persistent warning sign,Low
Fever,<1 day,Requires Further Evaluation,Consider physician evaluation,Persistent warning sign,Moderate
Fever,<1 day,Requires Further Evaluation,Consider physician evaluation,Persistent warning sign,High
Fever,<1 day,Requires Further Evaluation,Consider physician evaluation,Possible chronic evolution,Low
Fever,<1 day,Requires Further Evaluation,Consider physician evaluation,Possible chronic evolution,Moderate
Fever,<1 day,Requires Further Evaluation,Consider physician evaluation,Possible chronic evolution,High
Fever,<1 day,Requires Further Evaluation,Consider physician evaluation,Acute onset requiring review,Low
Fever,<1 day,Requires Further Evaluation,Consider physician evaluation,Acute onset requiring review,Moderate
Fever,<1 day,Requires Further Evaluation,Consider physician evaluation,Acute onset requiring review,High
Fever,<1 day,Requires Further Evaluation,Escalate if symptoms worsen,Early stage pattern,Low
Fever,<1 day,Requires Further Evaluation,Escalate if symptoms worsen,Early stage pattern,Moderate
Fever,<1 day,Requires Further Evaluation,Escalate if symptoms worsen,Early stage pattern,High
Fever,<1 day,Requires Further Evaluation,Escalate if symptoms worsen,Subacute progression,Low
Fever,<1 day,Requires Further Evaluation,Escalate if symptoms worsen,Subacute progression,Moderate
Fever,<1 day,Requires Further Evaluation,Escalate if symptoms worsen,Subacute progression,High
Fever,<1 day,Requires Further Evaluation,Escalate if symptoms worsen,Persistent warning sign,Low
Fever,<1 day,Requires Further Evaluation,Escalate if symptoms worsen,Persistent warning sign,Moderate
Fever,<1 day,Requires Further Evaluation,Escalate if symptoms worsen,Persistent warning sign,High
Fever,<1 day,Requires Further Evaluation,Escalate if symptoms worsen,Possible chronic evolution,Low
Fever,<1 day,Requires Further Evaluation,Escalate if symptoms worsen,Possible chronic evolution,Moderate
Fever,<1 day,Requires Further Evaluation,Escalate if symptoms worsen,Possible chronic evolution,High
Fever,<1 day,Requires Further Evaluation,Escalate if symptoms worsen,Acute onset requiring review,Low
Fever,<1 day,Requires Further Evaluation,Escalate if symptoms worsen,Acute onset requiring review,Moderate
Fever,<1 day,Requires Further Evaluation,Escalate if symptoms worsen,Acute onset requiring review,High
Fever,<1 day,Potential Chronic Condition,Home monitoring,Early stage pattern,Low
Fever,<1 day,Potential Chronic Condition,Home monitoring,Early stage pattern,Moderate
Fever,<1 day,Potential Chronic Condition,Home monitoring,Early stage pattern,High
Fever,<1 day,Potential Chronic Condition,Home monitoring,Subacute progression,Low
Fever,<1 day,Potential Chronic Condition,Home monitoring,Subacute progression,Moderate
Fever,<1 day,Potential Chronic Condition,Home monitoring,Subacute progression,High
Fever,<1 day,Potential Chronic Condition,Home monitoring,Persistent warning sign,Low
Fever,<1 day,Potential Chronic Condition,Home monitoring,Persistent warning sign,Moderate
Fever,<1 day,Potential Chronic Condition,Home monitoring,Persistent warning sign,High
Fever,<1 day,Potential Chronic Condition,Home monitoring,Possible chronic evolution,Low
Fever,<1 day,Potential Chronic Condition,Home monitoring,Possible chronic evolution,Moderate
Fever,<1 day,Potential Chronic Condition,Home monitoring,Possible chronic evolution,High
Fever,<1 day,Potential Chronic Condition,Home monitoring,Acute onset requiring review,Low
Fever,<1 day,Potential Chronic Condition,Home monitoring,Acute onset requiring review,Moderate
Fever,<1 day,Potential Chronic Condition,Home monitoring,Acute onset requiring review,High
Fever,<1 day,Potential Chronic Condition,Repeat assessment in 24 hrs,Early stage pattern,Low
Fever,<1 day,Potential Chronic Condition,Repeat assessment in 24 hrs,Early stage pattern,Moderate
Fever,<1 day,Potential Chronic Condition,Repeat assessment in 24 hrs,Early stage pattern,High
Fever,<1 day,Potential Chronic Condition,Repeat assessment in 24 hrs,Subacute progression,Low
Fever,<1 day,Potential Chronic Condition,Repeat assessment in 24 hrs,Subacute progression,Moderate
Fever,<1 day,Potential Chronic Condition,Repeat assessment in 24 hrs,Subacute progression,High
Fever,<1 day,Potential Chronic Condition,Repeat assessment in 24 hrs,Persistent warning sign,Low
Fever,<1 day,Potential Chronic Condition,Repeat assessment in 24 hrs,Persistent warning sign,Moderate
Fever,<1 day,Potential Chronic Condition,Repeat assessment in 24 hrs,Persistent warning sign,High
Fever,<1 day,Potential Chronic Condition,Repeat assessment in 24 hrs,Possible chronic evolution,Low
Fever,<1 day,Potential Chronic Condition,Repeat assessment in 24 hrs,Possible chronic evolution,Moderate
Fever,<1 day,Potential Chronic Condition,Repeat assessment in 24 hrs,Possible chronic evolution,High
Fever,<1 day,Potential Chronic Condition,Repeat assessment in 24 hrs,Acute onset requiring review,Low
Fever,<1 day,Potential Chronic Condition,Repeat assessment in 24 hrs,Acute onset requiring review,Moderate
Fever,<1 day,Potential Chronic Condition,Repeat assessment in 24 hrs,Acute onset requiring review,High
Fever,<1 day,Potential Chronic Condition,Basic lab screening suggested,Early stage pattern,Low
