disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_set,possible_diseases,differentiating_factor,symptom_count
Migraine,0,19,6,14,29,6,Constipation +  Pain During Bowel Movements,"Dimorphic Hemmorhoids(Piles), Hepatitis D, Jaundice",9,7
Migraine,0,19,23,14,29,6,Fatigue +  Mood Swings,"Hyperthyroidism, Arthritis, Drug Reaction",0,7
Migraine,0,19,23,3,29,6,Joint Pain +  Vomiting,"Hepatitis E, Tuberculosis, Varicose Veins",1,7
Migraine,0,19,23,3,9,6,Fatigue +  Cough,"Bronchial Asthma, Gerd, Hypothyroidism",6,7
Migraine,0,19,23,3,9,25,Joint Pain +  Neck Pain,"Osteoarthristis, Hyperthyroidism, Allergy",6,7
Migraine,0,19,23,3,9,25,Joint Pain +  Neck Pain,"Osteoarthristis, Alcoholic Hepatitis, Gerd",6,7
Migraine,0,19,23,3,9,25,Muscle Wasting +  Patches In Throat,"Aids, Diabetes , Migraine",8,7
Cervical Spondylosis,1,43,34,13,22,20,Fatigue +  Cough,"Bronchial Asthma, Heart Attack, Typhoid",4,7
Cervical Spondylosis,1,43,34,13,22,20,Constipation +  Pain During Bowel Movements,"Dimorphic Hemmorhoids(Piles), Common Cold, Hypoglycemia",5,7
Cervical Spondylosis,30,26,19,26,12,20,Joint Pain +  Neck Pain,"Osteoarthristis, Psoriasis, Chicken Pox",3,7
Cervical Spondylosis,1,26,19,26,12,20,Chills +  Vomiting,"Malaria, Dengue, Arthritis",6,7
Cervical Spondylosis,1,43,19,26,12,20,Vomiting +  Fatigue,"Tuberculosis, Alcoholic Hepatitis, (Vertigo) Paroymsal  Positional Vertigo",1,7
Cervical Spondylosis,1,43,34,26,12,20,Fatigue +  Yellowish Skin,"Hepatitis C, Drug Reaction, Osteoarthristis",2,7
Cervical Spondylosis,1,43,34,13,12,20,Chills +  Vomiting,"Tuberculosis, Drug Reaction, Osteoarthristis",6,7
Cervical Spondylosis,1,43,34,13,22,20,Skin Rash +  Pus Filled Pimples,"Acne, Typhoid, Pneumonia",5,7
Cervical Spondylosis,30,26,19,26,12,20,Chills +  Vomiting,"Malaria, Hepatitis C, Hypertension",0,7
Cervical Spondylosis,1,26,19,26,12,20,Fatigue +  Cramps,"Varicose Veins, Hepatitis D",4,7
Paralysis (Brain Hemorrhage),29,17,51,1,12,20,Chills +  Vomiting,"Typhoid, Paralysis (Brain Hemorrhage), Arthritis",4,7
Paralysis (Brain Hemorrhage),29,17,51,1,12,20,Itching +  Fatigue,"Hepatitis B, Varicose Veins, Hypoglycemia",8,7
Paralysis (Brain Hemorrhage),12,44,1,19,12,20,Chills +  Fatigue,"Pneumonia, Urinary Tract Infection, Dengue",9,7
Paralysis (Brain Hemorrhage),29,44,1,19,12,20,Skin Rash +  Blister,"Impetigo, Hypertension , Psoriasis",4,7
Paralysis (Brain Hemorrhage),29,17,1,19,12,20,Vomiting +  Indigestion,"Peptic Ulcer Diseae, Dengue",1,7
Paralysis (Brain Hemorrhage),29,17,51,19,12,20,Fatigue +  Weight Gain,"Hypothyroidism, Urinary Tract Infection, Osteoarthristis",0,7
Paralysis (Brain Hemorrhage),29,17,51,1,12,20,Skin Rash +  Joint Pain,"Psoriasis, Bronchial Asthma, Aids",1,7
Paralysis (Brain Hemorrhage),12,44,1,19,12,20,Chills +  Vomiting,"Malaria, Cervical Spondylosis, Acne",4,7
Paralysis (Brain Hemorrhage),29,44,1,19,12,20,Joint Pain +  Neck Pain,"Osteoarthristis, Hepatitis E, Tuberculosis",8,7
Paralysis (Brain Hemorrhage),29,17,1,19,12,20,Fatigue +  Weight Gain,"Hypothyroidism, Dengue, (Vertigo) Paroymsal  Positional Vertigo",6,7
Jaundice,15,42,21,46,13,31,Stomach Pain +  Acidity,"Gerd, Heart Attack, Dengue",4,7
Jaundice,15,42,21,46,13,31,Fatigue +  Cough,"Bronchial Asthma, Hepatitis C, Psoriasis",8,7
Jaundice,29,15,52,19,37,5,Chills +  Fatigue,"Pneumonia, Diabetes , (Vertigo) Paroymsal  Positional Vertigo",1,7
Jaundice,15,15,52,19,37,5,Chills +  Fatigue,"Pneumonia, Gerd, Alcoholic Hepatitis",6,7
Jaundice,15,42,52,19,37,5,Fatigue +  Yellowish Skin,"Hepatitis C, Impetigo, Psoriasis",6,7
Jaundice,15,42,21,19,37,5,Skin Rash +  Joint Pain,"Psoriasis, Tuberculosis",5,7
Jaundice,15,42,21,46,37,5,Muscle Wasting +  Patches In Throat,"Aids, Chronic Cholestasis, Hepatitis B",8,7
Jaundice,15,42,21,46,13,5,Vomiting +  Headache,"(Vertigo) Paroymsal  Positional Vertigo, Gastroenteritis, Hypothyroidism",6,7
Jaundice,15,42,21,46,13,31,Fatigue +  Mood Swings,"Hyperthyroidism, Jaundice, Impetigo",0,7
Jaundice,15,42,21,46,13,31,Skin Rash +  High Fever,"Impetigo, Gastroenteritis, Pneumonia",2,7
Malaria,6,42,24,40,12,20,Fatigue +  Cramps,"Varicose Veins, Common Cold, Arthritis",6,7
Malaria,6,42,24,40,12,20,Skin Rash +  Joint Pain,"Psoriasis, Urinary Tract Infection, Hypothyroidism",6,7
Malaria,6,42,24,40,12,20,Skin Rash +  High Fever,"Impetigo, Hepatitis A, Hypertension",2,7
Malaria,29,18,45,18,24,7,Vomiting +  Yellowish Skin,"Alcoholic Hepatitis, Paralysis (Brain Hemorrhage), Common Cold",0,7
Malaria,6,18,45,18,24,7,Joint Pain +  Vomiting,"Hepatitis E, Hepatitis C, Pneumonia",0,7
Malaria,6,42,45,18,24,7,Fatigue +  Cough,"Bronchial Asthma, Dimorphic Hemmorhoids(Piles), Varicose Veins",2,7
Malaria,6,42,24,18,24,7,Chills +  Vomiting,"Typhoid, Allergy, Cervical Spondylosis",6,7
Malaria,6,42,24,40,24,7,Fatigue +  Cough,"Bronchial Asthma, Hepatitis C, Psoriasis",0,7
Malaria,6,42,24,40,12,7,Fatigue +  Cramps,"Varicose Veins, Hyperthyroidism, Drug Reaction",2,7
Malaria,6,42,24,40,12,20,Fatigue +  Mood Swings,"Hyperthyroidism, Jaundice, Typhoid",0,7
Chicken Pox,15,35,21,24,13,12,Vomiting +  Fatigue,"Hypoglycemia, Hepatitis B, Malaria",6,7
Chicken Pox,25,15,28,19,12,17,Itching +  Skin Rash,"Fungal Infection, Drug Reaction, Hepatitis E",5,7
Chicken Pox,15,15,28,19,12,17,Chills +  Fatigue,"Pneumonia, Hypothyroidism, Acne",5,7
Chicken Pox,15,35,28,19,12,17,Vomiting +  Breathlessness,"Heart Attack, Paralysis (Brain Hemorrhage), Gerd",0,7
Chicken Pox,15,35,21,19,12,17,Skin Rash +  Joint Pain,"Psoriasis, Hepatitis A, Jaundice",1,7
Chicken Pox,15,35,21,24,12,17,Fatigue +  Cough,"Bronchial Asthma, Gastroenteritis, Hyperthyroidism",5,7
Chicken Pox,15,35,21,24,13,17,Joint Pain +  Knee Pain,"Osteoarthristis, Hepatitis A, Urinary Tract Infection",4,7
Chicken Pox,15,35,21,24,13,12,Skin Rash +  Chills,"Dengue, Urinary Tract Infection, Alcoholic Hepatitis",4,7
Chicken Pox,15,35,21,24,13,12,Chills +  Vomiting,"Typhoid, Bronchial Asthma, Hepatitis A",5,7
Chicken Pox,15,35,21,24,13,12,Itching +  Skin Rash,"Fungal Infection, Arthritis, Common Cold",3,7
Dengue,25,9,26,44,11,13,Continuous Sneezing +  Shivering,"Allergy, Gerd, (Vertigo) Paroymsal  Positional Vertigo",5,7
Dengue,25,9,26,44,11,13,Constipation +  Pain During Bowel Movements,"Dimorphic Hemmorhoids(Piles), Gastroenteritis, Hyperthyroidism",5,7
Dengue,25,9,26,44,11,13,Joint Pain +  Neck Pain,"Osteoarthristis, Aids, Migraine",5,7
Dengue,25,9,26,44,11,13,Patches In Throat +  High Fever,"Aids, Hepatitis B, Hyperthyroidism",4,7
Dengue,6,20,49,17,13,12,Constipation +  Pain During Bowel Movements,"Dimorphic Hemmorhoids(Piles), Migraine, Gastroenteritis",1,7
Dengue,25,20,49,17,13,12,Skin Rash +  Pus Filled Pimples,"Acne, Varicose Veins, Hepatitis C",5,7
Dengue,25,9,49,17,13,12,Muscle Wasting +  Patches In Throat,"Aids, Fungal Infection, Tuberculosis",6,7
Dengue,25,9,26,17,13,12,Skin Rash +  Joint Pain,"Psoriasis, Drug Reaction, Cervical Spondylosis",8,7
Dengue,25,9,26,44,13,12,Itching +  Skin Rash,"Fungal Infection, Heart Attack, Acne",5,7
Dengue,25,9,26,44,11,12,Back Pain +  Weakness In Limbs,"Cervical Spondylosis, Common Cold",1,7
Typhoid,6,42,21,19,24,4,Chills +  Vomiting,"Malaria, Alcoholic Hepatitis, Typhoid",4,7
Typhoid,6,42,21,19,12,4,Fatigue +  Yellowish Skin,"Hepatitis C, Acne, (Vertigo) Paroymsal  Positional Vertigo",6,7
Typhoid,6,42,21,19,12,20,Chills +  Vomiting,"Malaria, Dengue, Cervical Spondylosis",5,7
Typhoid,6,42,21,19,12,20,Chills +  Vomiting,"Malaria, Hepatitis D, Tuberculosis",6,7
Typhoid,6,42,21,19,12,20,Stomach Pain +  Acidity,"Gerd, Hypoglycemia, Malaria",6,7
Typhoid,6,42,21,19,12,20,Itching +  Vomiting,"Chronic Cholestasis, Varicose Veins, Cervical Spondylosis",0,7
Typhoid,6,42,21,19,12,20,Chills +  Fatigue,"Typhoid, Hepatitis C, Malaria",4,7
Typhoid,6,42,21,19,12,20,Muscle Weakness +  Stiff Neck,"Arthritis, Paralysis (Brain Hemorrhage), Acne",1,7
Typhoid,6,42,21,19,12,20,Chills +  Vomiting,"Tuberculosis, Varicose Veins, Peptic Ulcer Diseae",1,7
Typhoid,6,15,24,18,24,4,Joint Pain +  Vomiting,"Hepatitis A, Hyperthyroidism, (Vertigo) Paroymsal  Positional Vertigo",4,7
Hepatitis A,16,42,53,9,24,17,Itching +  Skin Rash,"Fungal Infection, Arthritis, Peptic Ulcer Diseae",7,7
Hepatitis A,16,42,53,9,24,17,Itching +  Fatigue,"Hepatitis B, Diabetes , Hepatitis C",0,7
Hepatitis A,29,47,15,29,21,0,Muscle Weakness +  Stiff Neck,"Arthritis, Hepatitis C, Jaundice",5,7
Hepatitis A,16,47,15,29,21,0,Joint Pain +  Vomiting,"Hepatitis A, Typhoid, Hepatitis E",3,7
Hepatitis A,16,42,15,29,21,0,Fatigue +  Cough,"Bronchial Asthma, Hepatitis C, Hepatitis E",1,7
Hepatitis A,16,42,53,29,21,0,Skin Rash +  Joint Pain,"Psoriasis, Hyperthyroidism, Hepatitis E",8,7
Hepatitis A,16,42,53,9,21,0,Joint Pain +  Vomiting,"Hepatitis A, Hypothyroidism, Chronic Cholestasis",4,7
Hepatitis A,16,42,53,9,24,0,Joint Pain +  Vomiting,"Hepatitis D, Hypoglycemia, Gerd",9,7
Hepatitis A,16,42,53,9,24,17,Itching +  Vomiting,"Chronic Cholestasis, Peptic Ulcer Diseae, Hypothyroidism",7,7
Hepatitis A,16,42,53,9,24,17,Back Pain +  Weakness In Limbs,"Cervical Spondylosis, Diabetes , Hepatitis D",7,7
Hepatitis B,15,15,28,49,5,17,Vomiting +  Sunken Eyes,"Gastroenteritis, Gerd, Osteoarthristis",4,7
Hepatitis B,15,15,28,49,5,17,Fatigue +  Weight Loss,"Diabetes , Chronic Cholestasis, Hypoglycemia",0,7
Hepatitis B,11,22,53,9,21,0,Muscle Weakness +  Stiff Neck,"Arthritis, Migraine, Hepatitis E",1,7
Hepatitis B,15,22,53,9,21,0,Itching +  Vomiting,"Jaundice, Hyperthyroidism, Chicken Pox",9,7
Hepatitis B,15,15,53,9,21,0,Fatigue +  Weight Loss,"Diabetes , Hepatitis D, Hepatitis E",2,7
Hepatitis B,15,15,28,9,21,0,Skin Rash +  Joint Pain,"Psoriasis, Drug Reaction, Varicose Veins",4,7
Hepatitis B,15,15,28,49,21,0,Joint Pain +  Vomiting,"Hepatitis E, Hepatitis B, (Vertigo) Paroymsal  Positional Vertigo",6,7
Hepatitis B,15,15,28,49,5,0,Itching +  Vomiting,"Jaundice, Arthritis",6,7
Hepatitis B,15,15,28,49,5,17,Vomiting +  Dehydration,"Gastroenteritis, Impetigo, Cervical Spondylosis",1,7
Hepatitis B,15,15,28,49,5,17,Itching +  Skin Rash,"Chicken Pox, Osteoarthristis, Psoriasis",1,7
Hepatitis C,11,47,33,25,10,20,Chills +  Vomiting,"Malaria, Dimorphic Hemmorhoids(Piles), Diabetes",6,7
Hepatitis C,11,47,33,25,36,9,Pain During Bowel Movements +  Pain In Anal Region,"Dimorphic Hemmorhoids(Piles), Hypothyroidism, Bronchial Asthma",5,7
Hepatitis C,33,25,29,48,10,20,Continuous Sneezing +  Shivering,"Allergy, Hypoglycemia, Chicken Pox",6,7
Hepatitis C,11,25,29,48,10,20,Skin Rash +  Blackheads,"Acne, (Vertigo) Paroymsal  Positional Vertigo, Hyperthyroidism",5,7
Hepatitis C,11,47,29,48,10,20,Vomiting +  Fatigue,"Hypoglycemia, Urinary Tract Infection, Migraine",5,7
Hepatitis C,11,47,33,48,10,20,Muscle Wasting +  Patches In Throat,"Aids, (Vertigo) Paroymsal  Positional Vertigo, Urinary Tract Infection",6,7
Hepatitis C,11,47,33,25,10,20,Vomiting +  Breathlessness,"Heart Attack, Dengue, Cervical Spondylosis",6,7
